FilingDate,PeriodEnd,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndFederalFundsSold,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,DeferredTaxesAcquisitionCostsAndOther,DeferredTaxesAndOther,DepreciationAmortizationAndAccretionNet,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInDebtExchange,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInTravelersChequesOutstanding,IncreaseDecreaseTravelersChequesOutstanding,MaturitiesOfCardmemberLoanSecuritizations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetDecreaseIncreaseInShortTermBorrowings,NetIncomeLoss,OtherNoncashIncomeExpense,PaymentsForMaturitiesOfCardmemberLoanSecuritizations,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromLoansReceivable,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,PaymentsForRepurchaseOfWarrants,PaymentsForRepurchasesOfCommonSharesAndOther,PaymentsOfDividends,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToPurchaseOtherLoansHeldForSale,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfEquityMethodInvestments,ProceedsFromSaleOfOtherLoansHeldForSale,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSecuritizationsOfCreditCards,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLossesExpensed,ProvisionForLosses,RepaymentOfPreferredSharesIssued,RepaymentsOfLongTermDebt,ShareBasedCompensation
2010-02-25,2006-12-31,8246000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-25,2007-12-31,15268000000,7022000000,,,,1236000000,786000000,-129000000,-851000000,,648000000,166000000,,4126000000,-114000000,1013000000,,,,3361000000,226000000,927000000,-56000000,,-22000000,-3500000000,15466000000,,-16621000000,,8011000000,,2682000000,4012000000,,,,20377000000,,,3572000000,,0,,712000000,124000000,9592000000,938000000,,,852000000,20833000000,0,6154000000,,3034000000,,,,55000000,7825000000,,,4103000000,0,9214000000,276000000
2010-02-25,2008-12-31,20550000000,5282000000,,,,-6653000000,2625000000,129000000,442000000,,712000000,20000000,,2871000000,-172000000,885000000,,,,358000000,2256000000,-101000000,-33000000,,-770000000,-4670000000,-10440000000,,7561000000,,8141000000,,-8693000000,2699000000,,,,-5940000000,,,218000000,,0,,836000000,4589000000,14724000000,977000000,,,176000000,19213000000,0,9620000000,,4657000000,,,,27000000,9619000000,,,5798000000,0,13787000000,229000000
2010-02-25,2009-12-31,15542000000,-5008000000,,,,40000000,196000000,-233000000,-1429000000,,1070000000,7000000,,2137000000,-7000000,-23000000,,,,11037000000,-526000000,730000000,1935000000,,-449000000,-4800000000,-4647000000,,-6752000000,,6384000000,,-6574000000,2130000000,,,,-6154000000,,,0,,340000000,,924000000,0,13719000000,772000000,,,614000000,6697000000,3389000000,2900000000,,2930000000,,,,50000000,2244000000,,,5313000000,3389000000,15197000000,202000000
2012-02-24,2008-12-31,,,21654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2009-12-31,,-5055000000,0,,,40000000,196000000,-233000000,,-1429000000,1070000000,7000000,,2137000000,-7000000,,-98000000,,,11037000000,-526000000,730000000,1935000000,-449000000,,,-4647000000,,-6752000000,,6337000000,,,2130000000,,-4800000000,0,-6154000000,,,0,3389000000,340000000,,924000000,,13719000000,722000000,,,614000000,6697000000,3389000000,2900000000,-6574000000,2930000000,,,,,2244000000,5313000000,,,,15197000000,230000000
2012-02-24,2010-03-31,,,,,,,,,,,,,,885000000,0,,,,,,,,,,,,,,,,,,,885000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2010-06-30,,,,,,,,,,,,,,1017000000,0,,,,,,,,,,,,,,,,,,,1017000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2010-09-30,,,,,,,,,,,,,,1093000000,0,,,,,,,,,,,,,,,,,,,1093000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2010-12-31,,-243000000,16356000000,,,0,0,0,,1135000000,917000000,135000000,,4057000000,0,,1737000000,,,3406000000,590000000,498000000,20000000,-317000000,,,-8084000000,,-1229000000,,8935000000,,,4057000000,,0,400000000,6389000000,,,590000000,0,0,,867000000,,7804000000,878000000,,,663000000,5918000000,0,12066000000,1056000000,2196000000,,,,,0,2207000000,,,,17670000000,287000000
2012-02-24,2011-03-31,,,,,,,,,,,,,,1177000000,0,,,,,,,,,,,,,,,,,,,1177000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2011-06-30,,,,,,,,,,,,,,1295000000,36000000,,,,,,,,,,,,,,,,,,,1331000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2011-09-30,,,,,,,,,,,,,,1235000000,0,,,,,,,,,,,,,,,,,,,1235000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,2011-12-31,,8537000000,24893000000,,,0,0,0,,818000000,918000000,-63000000,,4899000000,36000000,,2893000000,,,8232000000,635000000,-663000000,-3574000000,-494000000,,,-1384000000,,-491000000,,10475000000,,,4935000000,,0,610000000,8358000000,,,2300000000,0,0,,861000000,,1158000000,1189000000,,,594000000,13982000000,0,6074000000,-2000000,1176000000,,,,,0,1112000000,,,,21029000000,301000000
2013-02-22,2009-12-31,,,16599000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2010-12-31,,-243000000,16356000000,,,,,,,1135000000,917000000,135000000,,4057000000,0,,1531000000,0,,3406000000,590000000,498000000,20000000,-317000000,,,,-7878000000,,-1229000000,,8729000000,,4057000000,,,400000000,6389000000,,,590000000,,,,867000000,,7804000000,878000000,,,663000000,5918000000,,12066000000,1262000000,2196000000,,,,,,2207000000,,,,17670000000,287000000
2013-02-22,2011-03-31,,,,,,,,,,,,,,1177000000,0,,,,,,,,,,,,,,,,,,,1177000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2011-06-30,,,,,,,,,,,,,,1295000000,36000000,,,,,,,,,,,,,,,,,,,1331000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2011-09-30,,,,,,,,,,,,,,1235000000,0,,,,,,,,,,,,,,,,,,,1235000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2011-12-31,,8537000000,24893000000,,,,,,,818000000,918000000,-63000000,,4899000000,36000000,,2186000000,0,,8232000000,635000000,-663000000,-3574000000,-494000000,,,,-677000000,,-491000000,,9768000000,,4935000000,,,610000000,8358000000,,,2300000000,,,,861000000,,1158000000,1189000000,,,594000000,13982000000,,6074000000,705000000,1176000000,,,,,,1112000000,,,,21029000000,301000000
2013-02-22,2012-03-31,,,,,,,,,,,,,,1256000000,0,,,,,,,,,,,,,,,,,,,1256000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2012-06-30,,,,,,,,,,,,,,1339000000,0,,,,,,,,,,,,,,,,,,,1339000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2012-09-30,,,,,,,,,,,,,,1250000000,0,,,,,,,,,,,,,,,,,,,1250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2012-12-31,,-2643000000,22250000000,,,,,,,218000000,991000000,88000000,,4482000000,0,,-358000000,541000000,,2300000000,-390000000,-153000000,-31000000,-540000000,,,,-3268000000,,-6545000000,,7082000000,,4482000000,,,466000000,6671000000,,,3952000000,,,,902000000,,473000000,1053000000,,,443000000,13934000000,,1562000000,-1015000000,525000000,,,,,,1990000000,,,,14076000000,297000000
2014-02-25,2010-12-31,,,16356000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2011-12-31,,8537000000,24893000000,,,,,,,818000000,918000000,-63000000,,4899000000,36000000,,2186000000,0,,8232000000,635000000,-663000000,-3574000000,-494000000,,,,-677000000,,-491000000,,9768000000,,4935000000,,,610000000,8358000000,,,2300000000,,,,861000000,,1158000000,1189000000,,,594000000,13982000000,,6074000000,705000000,1176000000,,,,,,1112000000,,,,21029000000,301000000
2014-02-25,2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2012-12-31,,-2643000000,22250000000,,,,,,,218000000,991000000,88000000,,4482000000,0,,-358000000,541000000,,2300000000,-390000000,-153000000,-31000000,-540000000,,,,-3268000000,,-6545000000,,7082000000,,4482000000,,,466000000,6671000000,,,3952000000,,,,902000000,,473000000,1053000000,,,443000000,13934000000,,1562000000,-1015000000,525000000,,,,,,1990000000,,,,14076000000,297000000
2014-02-25,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,2013-12-31,,-2764000000,19486000000,,,,,,,-283000000,1020000000,-151000000,,5359000000,0,,88000000,0,,1195000000,-335000000,73000000,-72000000,-359000000,,,,-3891000000,,-7269000000,,8547000000,,5359000000,,,195000000,6301000000,,,3943000000,,,,939000000,,1348000000,1006000000,,,721000000,11995000000,,1292000000,1843000000,217000000,,,,,,2110000000,,,,14763000000,350000000
2015-02-24,2011-12-31,,,24893000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2012-12-31,,-2643000000,22250000000,,,,,,,496000000,991000000,88000000,,2592000000,,,-358000000,541000000,,2300000000,-390000000,-153000000,-31000000,-540000000,,,,-3268000000,,-6545000000,,7082000000,,4482000000,,,466000000,6671000000,,,3952000000,,,,902000000,,473000000,1053000000,,,443000000,13934000000,0,1562000000,-1015000000,525000000,,0,,,,1712000000,,,,14076000000,297000000
2015-02-24,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2013-12-31,,-2764000000,19486000000,,,,,,,-5000000,1020000000,-151000000,,3193000000,,,88000000,0,,1195000000,-335000000,73000000,-72000000,-359000000,,,,-3891000000,,-7269000000,,8547000000,,5359000000,,,195000000,6301000000,,,3943000000,,,,939000000,,1348000000,1006000000,,,721000000,11995000000,0,1292000000,1843000000,217000000,,0,,,,1832000000,,,,14763000000,350000000
2015-02-24,2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2014-12-31,,2802000000,22288000000,,,,,,,-941000000,1012000000,-232000000,,3200000000,,,2594000000,0,,2459000000,-650000000,56000000,-72000000,-488000000,,,,11000000,,-7967000000,,10990000000,,5885000000,,,229000000,8077000000,,,4389000000,,,,1041000000,,886000000,1195000000,,,362000000,16020000000,742000000,1116000000,-1374000000,242000000,,990000000,,,,2044000000,,,,12768000000,290000000
2016-02-19,2012-12-31,,,4797000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2013-12-31,,-2764000000,6076000000,,,,,,,-5000000,1020000000,-151000000,,,,,88000000,0,,1195000000,-335000000,73000000,-72000000,-359000000,,,,-3891000000,,-7269000000,,4478000000,,5359000000,,,195000000,6301000000,,,3943000000,,,,939000000,,1348000000,1006000000,,,721000000,11995000000,0,1292000000,1843000000,217000000,,0,,,,1832000000,,,,14763000000,350000000
2016-02-19,2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2014-12-31,,2802000000,0,,,,,,,-941000000,1012000000,-232000000,,,,,2594000000,0,,2459000000,-650000000,56000000,-72000000,-488000000,,,,11000000,,-7967000000,,5113000000,,5885000000,,,229000000,8077000000,,,4389000000,,,,1041000000,,886000000,1195000000,,,362000000,16020000000,742000000,1116000000,-1374000000,242000000,,990000000,,,,93000000,,,,655000000,290000000
2016-02-19,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,2015-12-31,,474000000,0,,,,,,,506000000,1043000000,-276000000,,,,,1020000000,0,,10878000000,-2058000000,673000000,120000000,-367000000,,,,-2029000000,,-8193000000,,10972000000,,5163000000,,,155000000,6967000000,,,4480000000,,,,1172000000,,1713000000,1341000000,,,192000000,9926000000,841000000,2091000000,1395000000,12000000,,0,,,,54000000,,,,19610000000,234000000
