FilingDate,PeriodEnd,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndFederalFundsSold,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,DeferredTaxesAcquisitionCostsAndOther,DeferredTaxesAndOther,DepreciationAmortizationAndAccretionNet,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInDebtExchange,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInTravelersChequesOutstanding,IncreaseDecreaseTravelersChequesOutstanding,MaturitiesOfCardmemberLoanSecuritizations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetDecreaseIncreaseInShortTermBorrowings,NetIncomeLoss,OtherNoncashIncomeExpense,PaymentsForMaturitiesOfCardmemberLoanSecuritizations,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromLoansReceivable,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,PaymentsForRepurchaseOfWarrants,PaymentsForRepurchasesOfCommonSharesAndOther,PaymentsOfDividends,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToPurchaseOtherLoansHeldForSale,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfEquityMethodInvestments,ProceedsFromSaleOfOtherLoansHeldForSale,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSecuritizationsOfCreditCards,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLossesExpensed,ProvisionForLosses,RepaymentOfPreferredSharesIssued,RepaymentsOfLongTermDebt,ShareBasedCompensation
2017-02-17,2013-12-31,,,6076000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2014-12-31,,2748000000,8824000000,,,,,,,-941000000,1012000000,-232000000,,,,,2594000000,0,,2459000000,-650000000,56000000,-72000000,-488000000,,,,137000000,,-2502000000,,5113000000,,5885000000,,,229000000,8077000000,,,4389000000,,,,1041000000,,0,39000000,,,362000000,16020000000,742000000,1116000000,-1374000000,242000000,,990000000,,,,569000000,,,,655000000,290000000
2017-02-17,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2015-12-31,,474000000,1000000000,,,,,,,507000000,1043000000,-276000000,,,,,699000000,0,,10878000000,-2058000000,714000000,120000000,-367000000,,,,-3633000000,,-3984000000,,10611000000,,5163000000,,,155000000,6967000000,,,4480000000,,,,1172000000,,3000000,29000000,,,192000000,9923000000,841000000,2091000000,1395000000,12000000,,0,,,,588000000,,,,0,234000000
2017-02-17,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2016-12-31,,2446000000,22000000000,,,,,,,-1132000000,1095000000,-114000000,,,,,1072000000,0,,-1935000000,-192000000,281000000,-145000000,-410000000,,,,-9689000000,,4116000000,,4402000000,,5408000000,,,487000000,-3220000000,,,4430000000,,,,1207000000,,2162000000,1000000,,,177000000,8824000000,0,2429000000,888000000,88000000,,10000000,,,,325000000,,,,9848000000,254000000
2018-02-16,2014-12-31,,,8824000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2015-12-31,,474000000,22762000000,,,,,,,,1043000000,-276000000,,,,,794000000,,,10878000000,-2058000000,714000000,120000000,-367000000,,,,-1763000000,,-8193000000,,5193000000,,5163000000,507000000,,155000000,6967000000,,,4480000000,,,,1172000000,,1713000000,1341000000,,,193000000,0,841000000,2091000000,1395000000,12000000,,0,,,,1988000000,,,,0,234000000
2018-02-16,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2016-12-31,,-1171000000,0,,,,,,,,1095000000,-114000000,,,,,1139000000,,,-1935000000,-192000000,281000000,-145000000,-410000000,,,,-7599000000,,1868000000,,4402000000,,825000000,-1132000000,,487000000,-3220000000,,,4430000000,,,,1206000000,,2162000000,1375000000,,,176000000,0,0,2429000000,888000000,88000000,,10000000,,,,325000000,,,,1350000000,254000000
2018-02-16,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,2017-12-31,,7719000000,33000000000,,,,,,,,1321000000,207000000,,,,,5505000000,,,11385000000,62000000,-473000000,31000000,-257000000,,,,12245000000,,-18273000000,,5976000000,,2736000000,783000000,,211000000,16853000000,,,4400000000,,,,1251000000,,0,0,,,129000000,32764000000,0,2494000000,-2300000000,2000000,,0,,,,744000000,,,,1500000000,282000000
2019-02-13,2015-12-31,,,,23239000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2016-12-31,,-1171000000,,25494000000,,,,,,,1095000000,-160000000,,,,,1180000000,,,-1935000000,-206000000,332000000,,-448000000,,,,-9689000000,,4116000000,,8291000000,,-1095000000,1066000000,,487000000,-3220000000,,,,,,4498000000,1207000000,,2162000000,1000000,,,177000000,8824000000,,2429000000,888000000,88000000,,10000000,,,,604000000,,,,1350000000,254000000
2019-02-13,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2017-12-31,,-503000000,,33263000000,,,,,,,1321000000,226000000,,,,,5506000000,,,11385000000,77000000,-475000000,,-257000000,,,,12245000000,,-4044000000,,5976000000,,2748000000,-782000000,,211000000,16853000000,,,,,,4400000000,1251000000,,2612000000,0,,,129000000,32764000000,,2494000000,-2300000000,2000000,,0,,,,16000000,,,,1500000000,282000000
2019-02-13,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,2018-12-31,,-1439000000,,27808000000,,,,,,,1293000000,129000000,,,,,-4121000000,,,5542000000,-743000000,-248000000,,-244000000,,,,2438000000,,-19615000000,,2434000000,,6921000000,-455000000,,520000000,15854000000,,,,,,1685000000,1324000000,,5434000000,1310000000,,,87000000,9350000000,,3499000000,-148000000,4000000,,0,,,,899000000,,,,18895000000,283000000
2020-02-13,2016-12-31,,,,25494000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2017-12-31,,,,33263000000,7769000000,,,,,,1321000000,,226000000,,,,5249000000,,,11385000000,-398000000,,,,,,12245000000,,-18242000000,,13540000000,,,2748000000,-782000000,,211000000,16853000000,,0,,,,4400000000,1251000000,,2612000000,1062000000,,,129000000,32764000000,,2494000000,-2300000000,,,,,,,2760000000,,,,24082000000,282000000
2020-02-13,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2018-12-31,,,,27808000000,-5455000000,,,,,,1293000000,,129000000,,,,-4365000000,,,5542000000,-991000000,,,,,,5101000000,,-19615000000,,8930000000,,,6921000000,-455000000,,520000000,15854000000,,0,,,,1685000000,1324000000,,5434000000,1310000000,,,87000000,21524000000,,3499000000,-148000000,,4000000,,,,,3352000000,,,,18895000000,283000000
2020-02-13,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,2019-12-31,,,,24446000000,-3362000000,,,,,,1188000000,,232000000,,,,1771000000,,,3330000000,368000000,,,,,,-519000000,,-16707000000,,13632000000,,,6759000000,-426000000,,352000000,11047000000,,-152000000,,,,4685000000,1422000000,,11166000000,1645000000,,,86000000,12706000000,,7329000000,3316000000,,22000000,,,,,3573000000,,,,13850000000,283000000
2021-02-12,2017-12-31,,,,33263000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2018-12-31,,,,27808000000,-5455000000,,,,,,1293000000,,129000000,,,,-4365000000,,,5542000000,-991000000,,,,,,5101000000,,-19615000000,,8930000000,,,6921000000,-455000000,,520000000,15854000000,,0,,,,1685000000,1324000000,,5434000000,1310000000,,,87000000,21524000000,,3499000000,-148000000,,4000000,,,,,,937000000,,,18895000000,283000000
2021-02-12,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2019-12-31,,,,24446000000,-3362000000,,,,,,1188000000,,232000000,,,,1771000000,,,3330000000,368000000,,,,,,-519000000,,-16707000000,,13632000000,,,6759000000,-426000000,,352000000,11047000000,,-152000000,,,,4685000000,1422000000,,11166000000,1645000000,,,86000000,12706000000,,7329000000,3316000000,,22000000,,,,,,963000000,,,13850000000,283000000
2021-02-12,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2020-12-31,,,,32965000000,8519000000,,,,,,1543000000,,364000000,,,,-2025000000,,,13542000000,1785000000,,,,,,-9068000000,,11632000000,,5591000000,,,3135000000,256000000,,597000000,-26906000000,,-135000000,,,,1029000000,1474000000,,20562000000,1478000000,,,44000000,69000000,,7159000000,-4627000000,,69000000,,,,,,1015000000,,,15593000000,249000000
2022-02-11,2018-12-31,,,,27808000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-11,2019-12-31,,,,24446000000,-3362000000,,,,,,1188000000,,232000000,,,,1771000000,,151000000,3330000000,368000000,,,,,,-519000000,,-16707000000,,13632000000,,,6759000000,-577000000,,352000000,11047000000,,-152000000,,0,,4685000000,1422000000,,11166000000,1645000000,,,86000000,12706000000,0,7329000000,3316000000,,22000000,,,,,,963000000,,,13850000000,283000000
2022-02-11,2020-12-31,,,,32965000000,8519000000,,,,,,1543000000,,364000000,,,,-2025000000,,939000000,13542000000,1785000000,,,,,,-9068000000,,11632000000,,5591000000,,,3135000000,-683000000,,597000000,-26906000000,,-135000000,,0,,1029000000,1474000000,,20562000000,1478000000,,,44000000,69000000,0,7159000000,-4627000000,,69000000,,,,,,1015000000,,,15593000000,249000000
2022-02-11,2021-12-31,,,,22028000000,-10937000000,,,,,,1695000000,,-120000000,,,,5389000000,,-294000000,-2468000000,-1068000000,,,,,,-14933000000,,-10529000000,,14645000000,,,8060000000,772000000,,-1000000,27557000000,,0,,1600000000,,7652000000,1448000000,,1517000000,1550000000,,,64000000,7788000000,1584000000,20032000000,461000000,,62000000,,,,,,-73000000,,,11662000000,330000000
2023-02-10,2019-12-31,,,,24446000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,2020-12-31,,,,32965000000,8519000000,,,,,,1543000000,,364000000,,,,-2025000000,,939000000,13542000000,1785000000,,,,,,-9068000000,,11632000000,,5591000000,,,3135000000,-683000000,,597000000,-26906000000,,-135000000,1029000000,0,,,1474000000,,20562000000,1478000000,0,,44000000,69000000,0,7159000000,-4627000000,,69000000,,0,,,,1015000000,,,15593000000,249000000
2023-02-10,2021-12-31,,,,22028000000,-10937000000,,,,,,1695000000,,-120000000,,,,5389000000,,-294000000,-2468000000,-1068000000,,,,,,-14933000000,,-10529000000,,14645000000,,,8060000000,772000000,,-1000000,27557000000,,0,7652000000,1600000000,,,1448000000,,1517000000,1550000000,0,,64000000,7788000000,1584000000,20032000000,461000000,,62000000,,0,,,,-73000000,,,11662000000,330000000
2023-02-10,2022-12-31,,,,33914000000,11886000000,,,,,,1626000000,,-13000000,,,,8815000000,,1189000000,25902000000,-1391000000,,,,,,24509000000,,-33689000000,,21079000000,,,7514000000,-365000000,,15000000,29562000000,,0,3502000000,0,,,1565000000,,4175000000,1855000000,277000000,,56000000,23230000000,0,1892000000,-706000000,,26000000,,277000000,,,,627000000,,,18906000000,375000000
2024-02-09,2020-12-31,,,,32965000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-09,2021-12-31,,,,22028000000,-10937000000,,,,,,1695000000,,-120000000,,,,5389000000,,-294000000,-2468000000,-1068000000,,,,,,-14933000000,,-10529000000,,14645000000,,,8060000000,772000000,,-1000000,,27557000000,,7652000000,1600000000,,,1448000000,,1517000000,1550000000,0,,64000000,7788000000,1584000000,20032000000,461000000,,62000000,,0,,,,-73000000,,,11662000000,330000000
2024-02-09,2022-12-31,,,,33914000000,11886000000,,,,,,1626000000,,-13000000,,,,8815000000,,1189000000,25902000000,-1391000000,,,,,,24509000000,,-33689000000,,21079000000,,,7514000000,-365000000,,15000000,,29562000000,,3502000000,0,,,1565000000,,4175000000,1855000000,277000000,,56000000,23230000000,0,1892000000,-706000000,,26000000,,277000000,,,,627000000,,,18906000000,375000000
2024-02-09,2023-12-31,,,,46596000000,12682000000,,,,,,1651000000,,177000000,,,,5065000000,,1329000000,18915000000,1244000000,,,,,,18379000000,,-24433000000,,18559000000,,,8374000000,-664000000,,64000000,,25124000000,,3650000000,0,,,1780000000,,1572000000,1563000000,54000000,,28000000,15674000000,0,3888000000,-105000000,,2000000,,59000000,,,,880000000,,,10703000000,450000000
2025-02-07,2021-12-31,,,,22028000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-07,2022-12-31,,,,33914000000,11886000000,,,,,,1626000000,,-13000000,,,,8815000000,,1189000000,25902000000,-1391000000,,,,,,24509000000,,-33689000000,,21079000000,,,7514000000,-365000000,,,,29562000000,,3502000000,,,,1565000000,15000000,4175000000,1855000000,277000000,0,56000000,23230000000,,1892000000,-706000000,,26000000,,277000000,,,,627000000,,,18906000000,375000000
2025-02-07,2023-12-31,,,,46596000000,12682000000,,,,,,1651000000,,177000000,,,,5065000000,,1329000000,18915000000,1244000000,,,,,,18379000000,,-24433000000,,18559000000,,,8374000000,-664000000,,,,25124000000,,3650000000,,,,1780000000,64000000,1572000000,1563000000,54000000,0,28000000,15674000000,,3888000000,-105000000,,2000000,,59000000,,,,880000000,,,10703000000,450000000
2025-02-07,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49000000,,,,
2025-02-07,2024-12-31,,,,40640000000,-5956000000,,,,,,1676000000,,-40000000,,,,-2897000000,,990000000,10305000000,-1007000000,,,,,,4436000000,,-24402000000,,14050000000,,,10129000000,564000000,,,,23259000000,,6020000000,,,,1999000000,454000000,1593000000,1911000000,0,594000000,100000000,12602000000,,2179000000,207000000,,42000000,,0,,,,774000000,,,10759000000,504000000
