FilingDate,PeriodEnd,CommonStockDividendsPerShareDeclared,CostOfGoodsAndServicesSold,EarningsPerShareBasic,EarningsPerShareDiluted,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,ResearchAndDevelopmentExpense,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
27-10-2009,29-09-2007,,15852000000,4.04,3.93,8154000000,,5008000000,1512000000,3496000000,599000000,3745000000,4409000000,782000000,,,24006000000,2963000000,889292000,864595000
27-10-2009,27-09-2008,,21334000000,5.48,5.36,11145000000,,6895000000,2061000000,4834000000,620000000,4870000000,6275000000,1109000000,,,32479000000,3761000000,902139000,881592000
27-10-2009,26-09-2009,,23397000000,6.39,6.29,13140000000,,7984000000,2280000000,5704000000,326000000,5482000000,7658000000,1333000000,,,36537000000,4149000000,907005000,893016000
25-01-2010,29-09-2007,,16426000000,4.04,3.93,8152000000,,5006000000,1511000000,3495000000,599000000,3745000000,4407000000,782000000,,,24578000000,2963000000,889292000,864595000
25-01-2010,27-09-2008,,24294000000,6.94,6.78,13197000000,,8947000000,2828000000,6119000000,620000000,4870000000,8327000000,1109000000,,,37491000000,3761000000,902139000,881592000
25-01-2010,26-09-2009,,25683000000,9.22,9.08,17222000000,,12066000000,3831000000,8235000000,326000000,5482000000,11740000000,1333000000,,,42905000000,4149000000,907005000,893016000
27-10-2010,27-09-2008,,24294000000,6.94,6.78,13197000000,,8947000000,2828000000,6119000000,620000000,4870000000,8327000000,1109000000,,,37491000000,3761000000,902139000,881592000
27-10-2010,27-12-2008,,,2.54,2.5,4507000000,,,,2255000000,,,,,,,11880000000,,,
27-10-2010,28-03-2009,,,1.82,1.79,3627000000,,,,1620000000,,,,,,,9084000000,,,
27-10-2010,27-06-2009,,,2.05,2.01,3983000000,,,,1828000000,,,,,,,9734000000,,,
27-10-2010,26-09-2009,,25683000000,9.22,9.08,17222000000,,12066000000,3831000000,8235000000,326000000,5482000000,11740000000,1333000000,,,42905000000,4149000000,907005000,893016000
27-10-2010,26-12-2009,,,3.74,3.67,6411000000,,,,3378000000,,,,,,,15683000000,,,
27-10-2010,27-03-2010,,,3.39,3.33,5625000000,,,,3074000000,,,,,,,13499000000,,,
27-10-2010,26-06-2010,,,3.57,3.51,6136000000,,,,3253000000,,,,,,,15700000000,,,
27-10-2010,25-09-2010,,39541000000,15.41,15.15,25684000000,,18540000000,4527000000,14013000000,155000000,7299000000,18385000000,1782000000,,,65225000000,5517000000,924712000,909461000
26-10-2011,26-09-2009,,25683000000,9.22,9.08,17222000000,,12066000000,3831000000,8235000000,326000000,5482000000,11740000000,1333000000,,,42905000000,4149000000,907005000,893016000
26-10-2011,26-12-2009,,,3.74,3.67,6411000000,,,,3378000000,,,,,,,15683000000,,,
26-10-2011,27-03-2010,,,3.39,3.33,5625000000,,,,3074000000,,,,,,,13499000000,,,
26-10-2011,26-06-2010,,,3.57,3.51,6136000000,,,,3253000000,,,,,,,15700000000,,,
26-10-2011,25-09-2010,,39541000000,15.41,15.15,25684000000,,18540000000,4527000000,14013000000,155000000,7299000000,18385000000,1782000000,,,65225000000,5517000000,924712000,909461000
26-10-2011,25-12-2010,,,6.53,6.43,10298000000,,,,6004000000,,,,,,,26741000000,,,
26-10-2011,26-03-2011,,,6.49,6.4,10218000000,,,,5987000000,,,,,,,24667000000,,,
26-10-2011,25-06-2011,,,7.89,7.79,11922000000,,,,7308000000,,,,,,,28571000000,,,
26-10-2011,24-09-2011,,64431000000,28.05,27.68,43818000000,,34205000000,8283000000,25922000000,415000000,10028000000,33790000000,2429000000,,,1.08249E+11,7599000000,936645000,924258000
31-10-2012,25-09-2010,0,39541000000,15.41,15.15,25684000000,,18540000000,4527000000,14013000000,155000000,7299000000,18385000000,1782000000,,,65225000000,5517000000,924712000,909461000
31-10-2012,25-12-2010,,,6.53,6.43,10298000000,,,,6004000000,,,,,,,26741000000,,,
31-10-2012,26-03-2011,,,6.49,6.4,10218000000,,,,5987000000,,,,,,,24667000000,,,
31-10-2012,25-06-2011,,,7.89,7.79,11922000000,,,,7308000000,,,,,,,28571000000,,,
31-10-2012,24-09-2011,0,64431000000,28.05,27.68,43818000000,,34205000000,8283000000,25922000000,415000000,10028000000,33790000000,2429000000,,,1.08249E+11,7599000000,936645000,924258000
31-10-2012,31-12-2011,,,14.03,13.87,20703000000,,,,13064000000,,,,,,,46333000000,,,
31-10-2012,31-03-2012,,,12.45,12.3,18564000000,,,,11622000000,,,,,,,39186000000,,,
31-10-2012,30-06-2012,,,9.42,9.32,14994000000,,,,8824000000,,,,,,,35023000000,,,
31-10-2012,29-09-2012,2.65,87846000000,44.64,44.15,68662000000,,55763000000,14030000000,41733000000,522000000,13421000000,55241000000,3381000000,,,1.56508E+11,10040000000,945355000,934818000
29-10-2013,24-09-2011,0,64431000000,28.05,27.68,43818000000,34205000000,,8283000000,25922000000,415000000,10028000000,33790000000,2429000000,,,1.08249E+11,7599000000,936645000,924258000
29-10-2013,31-12-2011,,,14.03,13.87,20703000000,,,,13064000000,,,,,,,46333000000,,,
29-10-2013,31-03-2012,,,12.45,12.3,18564000000,,,,11622000000,,,,,,,39186000000,,,
29-10-2013,30-06-2012,,,9.42,9.32,14994000000,,,,8824000000,,,,,,,35023000000,,,
29-10-2013,29-09-2012,2.65,87846000000,44.64,44.15,68662000000,55763000000,,14030000000,41733000000,522000000,13421000000,55241000000,3381000000,,,1.56508E+11,10040000000,945355000,934818000
29-10-2013,29-12-2012,2.65,,13.93,13.81,21060000000,,,,13078000000,,,,,,,54512000000,,,
29-10-2013,30-03-2013,2.65,,10.16,10.09,16349000000,,,,9547000000,,,,,,,43603000000,,,
29-10-2013,29-06-2013,3.05,,7.51,7.47,13024000000,,,,6900000000,,,,,,,35323000000,,,
29-10-2013,28-09-2013,11.4,1.06606E+11,40.03,39.75,64304000000,50155000000,,13118000000,37037000000,1156000000,15305000000,48999000000,4475000000,,,1.7091E+11,10830000000,931662000,925331000
27-10-2014,29-09-2012,0.38,87846000000,6.38,6.31,68662000000,55763000000,,14030000000,41733000000,522000000,13421000000,55241000000,3381000000,,,1.56508E+11,10040000000,6617483000,6543726000
27-10-2014,29-12-2012,0.38,,1.99,1.97,21060000000,,,,13078000000,,,,,,,54512000000,,,
27-10-2014,30-03-2013,0.38,,1.45,1.44,16349000000,,,,9547000000,,,,,,,43603000000,,,
27-10-2014,29-06-2013,0.44,,1.07,1.07,13024000000,,,,6900000000,,,,,,,35323000000,,,
27-10-2014,28-09-2013,1.64,1.06606E+11,5.72,5.68,64304000000,50155000000,,13118000000,37037000000,1156000000,15305000000,48999000000,4475000000,,,1.7091E+11,10830000000,6521634000,6477320000
27-10-2014,28-12-2013,0.44,,2.08,2.07,21846000000,,,,13072000000,,,,,,,57594000000,,,
27-10-2014,29-03-2014,0.44,,1.67,1.66,17947000000,,,,10223000000,,,,,,,45646000000,,,
27-10-2014,28-06-2014,0.47,,1.29,1.28,14735000000,,,,7748000000,,,,,,,37432000000,,,
27-10-2014,27-09-2014,1.82,1.12258E+11,6.49,6.45,70537000000,53483000000,,13973000000,39510000000,980000000,18034000000,52503000000,6041000000,,,1.82795E+11,11993000000,6122663000,6085572000
28-10-2015,28-09-2013,1.64,1.06606E+11,5.72,5.68,64304000000,50155000000,,13118000000,37037000000,1156000000,15305000000,48999000000,4475000000,,,1.7091E+11,10830000000,6521634000,6477320000
28-10-2015,28-12-2013,0.44,,2.08,2.07,21846000000,,,,13072000000,,,,,,,57594000000,,,
28-10-2015,29-03-2014,0.44,,1.67,1.66,17947000000,,,,10223000000,,,,,,,45646000000,,,
28-10-2015,28-06-2014,0.47,,1.29,1.28,14735000000,,,,7748000000,,,,,,,37432000000,,,
28-10-2015,27-09-2014,1.82,1.12258E+11,6.49,6.45,70537000000,53483000000,,13973000000,39510000000,980000000,18034000000,52503000000,6041000000,,,1.82795E+11,11993000000,6122663000,6085572000
28-10-2015,27-12-2014,0.47,,3.08,3.06,29741000000,,,,18024000000,,,,,,,74599000000,,,
28-10-2015,28-03-2015,0.47,,2.34,2.33,23656000000,,,,13569000000,,,,,,,58010000000,,,
28-10-2015,27-06-2015,0.52,,1.86,1.85,19681000000,,,,10677000000,,,,,,,49605000000,,,
28-10-2015,26-09-2015,1.98,1.40089E+11,9.28,9.22,93626000000,72515000000,,19121000000,53394000000,1285000000,22396000000,71230000000,8067000000,,,2.33715E+11,14329000000,5793069000,5753421000
26-10-2016,27-09-2014,1.82,1.12258E+11,6.49,6.45,70537000000,53483000000,,13973000000,39510000000,980000000,18034000000,52503000000,6041000000,,,1.82795E+11,11993000000,6122663000,6085572000
26-10-2016,27-12-2014,0.47,,3.08,3.06,29741000000,,,,18024000000,,,,,,,74599000000,,,
26-10-2016,28-03-2015,0.47,,2.34,2.33,23656000000,,,,13569000000,,,,,,,58010000000,,,
26-10-2016,27-06-2015,0.52,,1.86,1.85,19681000000,,,,10677000000,,,,,,,49605000000,,,
26-10-2016,26-09-2015,0.52,1.40089E+11,1.97,1.96,20548000000,72515000000,,19121000000,11124000000,1285000000,22396000000,71230000000,8067000000,,,51501000000,14329000000,5793069000,5753421000
26-10-2016,26-12-2015,0.52,,3.3,3.28,30423000000,,,,18361000000,,,,,,,75872000000,,,
26-10-2016,26-03-2016,0.52,,1.91,1.9,19921000000,,,,10516000000,,,,,,,50557000000,,,
26-10-2016,25-06-2016,0.57,,1.43,1.42,16106000000,,,,7796000000,,,,,,,42358000000,,,
26-10-2016,24-09-2016,0.57,1.31376E+11,1.68,1.67,17813000000,61372000000,,15685000000,9014000000,1348000000,24239000000,60024000000,10045000000,,,46852000000,14194000000,5500281000,5470820000
03-11-2017,26-09-2015,1.98,1.40089E+11,9.28,9.22,93626000000,72515000000,,19121000000,53394000000,1285000000,22396000000,71230000000,8067000000,,,2.33715E+11,14329000000,5793069000,5753421000
03-11-2017,26-12-2015,0.52,,3.3,3.28,30423000000,,,,18361000000,,,,,,,75872000000,,,
03-11-2017,26-03-2016,0.52,,1.91,1.9,19921000000,,,,10516000000,,,,,,,50557000000,,,
03-11-2017,25-06-2016,0.57,,1.43,1.42,16106000000,,,,7796000000,,,,,,,42358000000,,,
03-11-2017,24-09-2016,0.57,1.31376E+11,1.68,1.67,17813000000,61372000000,,15685000000,9014000000,1348000000,24239000000,60024000000,10045000000,,,46852000000,14194000000,5500281000,5470820000
03-11-2017,31-12-2016,0.57,,3.38,3.36,30176000000,,,,17891000000,,,,,,,78351000000,,,
03-11-2017,01-04-2017,0.57,,2.11,2.1,20591000000,,,,11029000000,,,,,,,52896000000,,,
03-11-2017,01-07-2017,0.63,,1.68,1.67,17488000000,,,,8717000000,,,,,,,45408000000,,,
03-11-2017,30-09-2017,0.63,1.41048E+11,2.08,2.07,19931000000,64089000000,,15738000000,10714000000,2745000000,26842000000,61344000000,11581000000,,,52579000000,15261000000,5251692000,5217242000
05-11-2018,24-09-2016,,1.31376E+11,8.35,8.31,84263000000,61372000000,,15685000000,45687000000,1348000000,24239000000,60024000000,10045000000,,2.15639E+11,,14194000000,5500281000,5470820000
05-11-2018,31-12-2016,,,3.38,3.36,30176000000,,,,17891000000,,,,,,78351000000,,,,
05-11-2018,01-04-2017,,,2.11,2.1,20591000000,,,,11029000000,,,,,,52896000000,,,,
05-11-2018,01-07-2017,,,1.68,1.67,17488000000,,,,8717000000,,,,,,45408000000,,,,
05-11-2018,30-09-2017,,1.41048E+11,2.08,2.07,19931000000,64089000000,,15738000000,10714000000,2745000000,26842000000,61344000000,11581000000,,52579000000,,15261000000,5251692000,5217242000
05-11-2018,30-12-2017,,,3.92,3.89,33912000000,,,,20065000000,,,,,,88293000000,,,,
05-11-2018,31-03-2018,,,2.75,2.73,23422000000,,,,13822000000,,,,,,61137000000,,,,
05-11-2018,30-06-2018,,,2.36,2.34,20421000000,,,,11519000000,,,,,,53265000000,,,,
05-11-2018,29-09-2018,,1.63756E+11,2.94,2.91,24084000000,72903000000,,13372000000,14125000000,2005000000,30941000000,70898000000,14236000000,,62900000000,,16705000000,5000109000,4955377000
30-10-2019,30-09-2017,,1.26337E+11,9.27,9.21,88186000000,64089000000,,15738000000,48351000000,2745000000,26842000000,61344000000,11581000000,1.96534E+11,,,15261000000,5251692000,5217242000
30-10-2019,30-12-2017,,,3.92,3.89,33912000000,,,,20065000000,,,,,88293000000,,,,,
30-10-2019,31-03-2018,,,2.75,2.73,23422000000,,,,13822000000,,,,,61137000000,,,,,
30-10-2019,30-06-2018,,,2.36,2.34,20421000000,,,,11519000000,,,,,53265000000,,,,,
30-10-2019,29-09-2018,,1.48164E+11,12.01,11.91,1.01839E+11,72903000000,,13372000000,59531000000,2005000000,30941000000,70898000000,14236000000,2.25847E+11,,,16705000000,5000109000,4955377000
30-10-2019,29-12-2018,,,4.22,4.18,32031000000,,,,19965000000,,,,,84310000000,,,,,
30-10-2019,30-03-2019,,,2.47,2.46,21821000000,,,,11561000000,,,,,58015000000,,,,,
30-10-2019,29-06-2019,,,2.2,2.18,20227000000,,,,10044000000,,,,,53809000000,,,,,
30-10-2019,28-09-2019,,1.44996E+11,11.97,11.89,98392000000,65737000000,,10481000000,55256000000,1807000000,34462000000,63930000000,16217000000,2.13883E+11,,,18245000000,4648913000,4617834000
29-10-2020,29-09-2018,,1.48164E+11,3,2.98,1.01839E+11,72903000000,,13372000000,59531000000,2005000000,30941000000,70898000000,14236000000,2.25847E+11,,,16705000000,20000435000,19821510000
29-10-2020,29-12-2018,,,1.05,1.05,32031000000,,,,19965000000,,,,,84310000000,,,,,
29-10-2020,30-03-2019,,,0.62,0.61,21821000000,,,,11561000000,,,,,58015000000,,,,,
29-10-2020,29-06-2019,,,0.55,0.55,20227000000,,,,10044000000,,,,,53809000000,,,,,
29-10-2020,28-09-2019,,1.44996E+11,2.99,2.97,98392000000,65737000000,,10481000000,55256000000,1807000000,34462000000,63930000000,16217000000,2.13883E+11,,,18245000000,18595651000,18471336000
29-10-2020,28-12-2019,,,1.26,1.25,35217000000,,,,22236000000,,,,,91819000000,,,,,
29-10-2020,28-03-2020,,,0.64,0.64,22370000000,,,,11249000000,,,,,58313000000,,,,,
29-10-2020,27-06-2020,,,0.65,0.65,22680000000,,,,11253000000,,,,,59685000000,,,,,
29-10-2020,26-09-2020,,1.51286E+11,3.31,3.28,1.04956E+11,67091000000,,9680000000,57411000000,803000000,38668000000,66288000000,18752000000,2.20747E+11,,,19916000000,17528214000,17352119000
28-10-2021,28-09-2019,,1.44996E+11,2.99,2.97,98392000000,65737000000,,10481000000,55256000000,1807000000,34462000000,63930000000,16217000000,2.13883E+11,,,18245000000,18595651000,18471336000
28-10-2021,26-09-2020,,1.51286E+11,3.31,3.28,1.04956E+11,67091000000,,9680000000,57411000000,803000000,38668000000,66288000000,18752000000,2.20747E+11,,,19916000000,17528214000,17352119000
28-10-2021,25-09-2021,,1.92266E+11,5.67,5.61,1.52836E+11,1.09207E+11,,14527000000,94680000000,258000000,43887000000,1.08949E+11,21914000000,2.97392E+11,,,21973000000,16864919000,16701272000
27-10-2022,26-09-2020,,1.51286E+11,3.31,3.28,1.04956E+11,67091000000,,9680000000,57411000000,803000000,38668000000,66288000000,18752000000,2.20747E+11,,,19916000000,17528214000,17352119000
27-10-2022,25-09-2021,,1.92266E+11,5.67,5.61,1.52836E+11,1.09207E+11,,14527000000,94680000000,258000000,43887000000,1.08949E+11,21914000000,2.97392E+11,,,21973000000,16864919000,16701272000
27-10-2022,24-09-2022,,2.01471E+11,6.15,6.11,1.70782E+11,1.19103E+11,,19300000000,99803000000,-334000000,51345000000,1.19437E+11,26251000000,3.16199E+11,,,25094000000,16325819000,16215963000
02-11-2023,25-09-2021,,1.92266E+11,5.67,5.61,1.52836E+11,1.09207E+11,,14527000000,94680000000,258000000,43887000000,1.08949E+11,21914000000,2.97392E+11,,,21973000000,16864919000,16701272000
02-11-2023,24-09-2022,,2.01471E+11,6.15,6.11,1.70782E+11,1.19103E+11,,19300000000,99803000000,-334000000,51345000000,1.19437E+11,26251000000,3.16199E+11,,,25094000000,16325819000,16215963000
02-11-2023,30-09-2023,,1.89282E+11,6.16,6.13,1.69148E+11,1.13736E+11,,16741000000,96995000000,-565000000,54847000000,1.14301E+11,29915000000,2.98085E+11,,,24932000000,15812547000,15744231000
01-11-2024,24-09-2022,,2.01471E+11,6.15,6.11,1.70782E+11,1.19103E+11,,19300000000,99803000000,-334000000,51345000000,1.19437E+11,26251000000,3.16199E+11,,,25094000000,16325819000,16215963000
01-11-2024,30-09-2023,,1.89282E+11,6.16,6.13,1.69148E+11,1.13736E+11,,16741000000,96995000000,-565000000,54847000000,1.14301E+11,29915000000,2.98085E+11,,,24932000000,15812547000,15744231000
01-11-2024,28-09-2024,,1.85233E+11,6.11,6.08,1.80683E+11,1.23485E+11,,29749000000,93736000000,269000000,57467000000,1.23216E+11,31370000000,2.94866E+11,,,26097000000,15408095000,15343783000
