FilingDate,PeriodEnd,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedIncomeTaxesNoncurrent,AccruedLiabilitiesCurrent,AccruedRevenueShare,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,AvailableForSaleSecuritiesCurrent,CapitalStockValue,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,CommonStockIncludingAdditionalPaidInCapital,CommonStockSharesAuthorized,CommonStockValue,CommonStocksIncludingAdditionalPaidInCapital,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,DebtCurrent,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxLiabilitiesNet,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsNetNoncurrent,DeferredTaxLiabilitiesNoncurrent,DepositsReceivedForSecuritiesLoanedAtCarryingValue,EmployeeRelatedLiabilitiesCurrent,Goodwill,IncomeTaxesReceivable,IntangibleAssetsNetExcludingGoodwill,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsNoncurrent,LongTermDebtAndCapitalLeaseObligations,LongTermDebtNoncurrent,MarketableSecuritiesCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherLiabilitiesNoncurrent,OtherLongTermInvestments,PrepaidRevenueShareExpensesAndOtherAssets,PrepaidRevenueShareExpensesAndOtherAssetsCurrent,PrepaidRevenueShareExpensesAndOtherAssetsNoncurrent,PropertyPlantAndEquipmentNet,PropertyPlantandEquipmentandFinanceLeaseRightofUseAssetafterAccumulatedDepreciationandAmortization,ReceivableUnderReverseRepurchaseAgreements,RetainedEarningsAccumulatedDeficit,SecuritiesLendingPayable,ShortTermBorrowings,StockholdersEquity
12-02-2010,31-12-2006,,,,,,,,,,,,,3544671000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17039840000
12-02-2010,31-12-2007,,,,,,,,,,,,,6081593000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22689679000
12-02-2010,31-12-2008,178004000,2642192000,81549000,,480263000,532547000,226579000,14450338000,31767575000,20178182000,,,8656672000,,,,315000,,,,0,,,,218084000,29818000,,286105000,0,12515000,,811643000,4839854000,0,996690000,,,31767575000,2302090000,890115000,,,7189099000,,,,,294175000,85160000,1404114000,,433846000,5233843000,,,13561630000,,,28238862000
12-02-2010,31-12-2009,215867000,3178471000,0,,570080000,693958000,105090000,15816738000,40496778000,29166958000,,,10197588000,,,,318000,,,,0,,,,285080000,41618000,,644406000,262611000,0,,982482000,4902565000,23244000,774938000,,,40496778000,2747467000,1392468000,,,14287187000,,,,,311001000,128977000,836062000,,416119000,4844610000,,,20082078000,,,36004224000
11-02-2011,31-12-2007,,,,,,,,,,,,,6082000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22690000000
11-02-2011,31-12-2008,,,,,,,,,,,,,8657000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28239000000
11-02-2011,31-12-2009,216000000,3178000000,0,,570000000,694000000,105000000,,40497000000,29167000000,14287000000,,10198000000,24485000000,15817000000,,,,,,0,,,,285000000,42000000,,644000000,263000000,,,982000000,4903000000,23000000,775000000,,,40497000000,2747000000,1392000000,,,,,,,,312000000,129000000,,837000000,415000000,4845000000,,0,20082000000,0,0,36004000000
11-02-2011,31-12-2010,483000000,4252000000,37000000,,961000000,885000000,138000000,,57851000000,41562000000,21345000000,,13630000000,34975000000,18235000000,,,,,,0,,,,394000000,35000000,,259000000,265000000,,,1410000000,6256000000,0,1044000000,,,57851000000,9996000000,1200000000,,,,,,,,379000000,523000000,,1326000000,442000000,7759000000,,750000000,27868000000,2361000000,3465000000,46241000000
26-01-2012,31-12-2008,,,,,,,,,,,,,8657000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28239000000
26-01-2012,31-12-2009,,,,,,,,,,,,,10198000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36004000000
26-01-2012,31-12-2010,483000000,4252000000,37000000,,961000000,885000000,138000000,,57851000000,41562000000,21345000000,,13630000000,34975000000,18235000000,,,,,,0,,,,394000000,35000000,,259000000,265000000,0,,1410000000,6256000000,,1044000000,,,57851000000,9996000000,1200000000,,0,,,,,,379000000,523000000,,1326000000,442000000,7759000000,,750000000,27868000000,2361000000,3465000000,46241000000
26-01-2012,31-12-2011,588000000,5427000000,197000000,,1370000000,1168000000,276000000,,72574000000,52758000000,34643000000,,9983000000,44626000000,20264000000,,,,,,0,,,,547000000,44000000,,215000000,0,287000000,,1818000000,7346000000,,1578000000,,,72574000000,8913000000,1693000000,,2986000000,,,,,,506000000,790000000,,1745000000,499000000,9603000000,,745000000,37605000000,2007000000,1218000000,58145000000
29-01-2013,31-12-2009,,,,,,,,,,,,,10198000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36004000000
29-01-2013,31-12-2010,,,,,,,,,,,,,13630000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46241000000
29-01-2013,31-12-2011,588000000,5427000000,197000000,,1370000000,1168000000,276000000,,72574000000,52758000000,34643000000,0,9983000000,44626000000,20264000000,,,,,,0,,,,547000000,44000000,,215000000,,287000000,,1818000000,7346000000,,1578000000,35000000,,72574000000,8913000000,1693000000,,2986000000,,,,,,506000000,790000000,,1710000000,499000000,9603000000,,745000000,37605000000,2007000000,1218000000,58145000000
29-01-2013,31-12-2012,2012000000,7885000000,240000000,,3258000000,1471000000,538000000,,93798000000,60454000000,33310000000,0,14778000000,48088000000,22835000000,,,,,,0,,,,895000000,100000000,,1144000000,,1872000000,,2239000000,10537000000,,7473000000,505000000,,93798000000,14337000000,2046000000,,2988000000,,,,,,740000000,1469000000,,2132000000,2011000000,11854000000,,700000000,48342000000,1673000000,2549000000,71715000000
11-02-2014,31-12-2010,,,,,,,,,,,,,13630000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27868000000
11-02-2014,30-04-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2014,31-12-2011,,,,,,,,,,,,,9983000000,,,,,,,,,,,,,,,,,,,,795000000,,,,,,,,,,,,,,,,,,,,,,,,,,58145000000
11-02-2014,22-05-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2014,31-12-2012,2012000000,7885000000,240000000,,3258000000,1471000000,538000000,,93798000000,60454000000,33310000000,0,14778000000,48088000000,,,,22835000000,,,0,2549000000,,,895000000,100000000,,1144000000,,1872000000,1673000000,2239000000,10537000000,0,7473000000,505000000,,93798000000,14337000000,2046000000,2988000000,,,,,,,740000000,1469000000,,2132000000,2011000000,11854000000,,700000000,48342000000,,,71715000000
11-02-2014,17-04-2013,169000000,424000000,,,289000000,,,,2113000000,,,,,,,,,,,,,,,,,,,144000000,,,,,,,701000000,228000000,,,,,,,,,,,,,,,,,282000000,,,,,,
11-02-2014,30-06-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2014,31-12-2013,2453000000,8882000000,24000000,,3755000000,1729000000,125000000,,1.11E+11,72886000000,39819000000,0,18898000000,58717000000,,,,25922000000,,,0,3009000000,,,1062000000,139000000,,1526000000,,1947000000,1374000000,2502000000,11492000000,408000000,6066000000,426000000,,1.11E+11,15908000000,2638000000,2236000000,,,,,,,743000000,1976000000,,2827000000,1976000000,16524000000,,100000000,61262000000,,,87309000000
06-02-2015,31-12-2011,,,,,,,,,,,,,9983000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58145000000
06-02-2015,31-12-2012,,,,,,,538000000,,,,,,14778000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71715000000
06-02-2015,30-06-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841000000,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2015,31-12-2013,2453000000,8882000000,24000000,,3755000000,1729000000,125000000,,1.11E+11,72886000000,39819000000,,18898000000,58717000000,,,,25922000000,,,0,3009000000,,,1062000000,139000000,,1526000000,,1947000000,1374000000,2502000000,11492000000,408000000,6066000000,,,1.11E+11,15908000000,2638000000,2236000000,,,,,,,743000000,1976000000,,3253000000,1976000000,16524000000,,100000000,61262000000,,,87309000000
06-02-2015,28-02-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000000,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2015,31-07-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452000000,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2015,31-08-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388000000,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2015,31-12-2014,1715000000,9383000000,96000000,,4434000000,1952000000,27000000,,1.31E+11,80685000000,46048000000,,18347000000,64395000000,,,,28767000000,,,0,2009000000,,,752000000,104000000,,1322000000,,1971000000,2778000000,3069000000,15599000000,1298000000,4607000000,,,1.31E+11,16805000000,3407000000,3228000000,,,,,,,1118000000,3079000000,,3412000000,3280000000,23883000000,,875000000,75706000000,,,1.05E+11
11-02-2016,31-12-2012,,,,,,,,,,,,,14778000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71570000000
11-02-2016,31-12-2013,,,,,,,,,,,,,18898000000,,,,,,,,,,,,,,,,,,,,11492000000,,,,,,,,,,,,,,,,,,,,,,,,,,86977000000
11-02-2016,28-02-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2016,31-07-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2016,31-08-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2016,31-12-2014,1715000000,9383000000,96000000,,4408000000,1952000000,27000000,,1.29E+11,78656000000,46048000000,,18347000000,64395000000,,,,28767000000,,,0,2009000000,,,752000000,104000000,176000000,,,758000000,2778000000,3069000000,15599000000,591000000,4607000000,,,1.29E+11,16779000000,3340000000,3228000000,,,,,,,1118000000,3079000000,,3412000000,3187000000,23883000000,,875000000,75066000000,,,1.04E+11
11-02-2016,31-12-2015,1931000000,11556000000,302000000,,4768000000,2329000000,-1874000000,,1.47E+11,90114000000,56517000000,,16549000000,73066000000,,,,32982000000,,,0,3225000000,,,788000000,151000000,251000000,,,189000000,2428000000,3539000000,15869000000,1903000000,3847000000,,,1.47E+11,19310000000,3663000000,1995000000,,,,,,,1822000000,5183000000,,3139000000,3181000000,29016000000,,450000000,89223000000,,,1.20E+11
02-02-2017,31-12-2013,,,,,,,,,,,,,18898000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86977000000
02-02-2017,31-12-2014,,,,,,,,,,,,,18347000000,,,,,,,,,,,,,,,,,,,,15599000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.04E+11
02-02-2017,31-12-2015,1931000000,11556000000,302000000,,4768000000,2329000000,-1874000000,,1.47E+11,90114000000,56517000000,,16549000000,73066000000,,,,32982000000,,,0,3225000000,,,788000000,151000000,251000000,,,189000000,2428000000,3539000000,15869000000,1903000000,3847000000,491000000,27130000000,1.47E+11,19310000000,3663000000,1995000000,,,,,,,1822000000,5183000000,,2648000000,3181000000,29016000000,,450000000,89223000000,,,1.20E+11
02-02-2017,31-10-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376000000,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2017,31-12-2016,2041000000,14137000000,554000000,,6144000000,2942000000,-2402000000,,1.67E+11,1.05E+11,73415000000,,12918000000,86333000000,,,,36307000000,,,0,0,,,1099000000,202000000,383000000,,,226000000,0,3976000000,16468000000,95000000,3307000000,268000000,28461000000,1.67E+11,16756000000,4677000000,3935000000,,,,,,,2665000000,5878000000,,4575000000,1819000000,34234000000,,0,1.05E+11,,,1.39E+11
05-02-2018,31-12-2014,,,,,,,,,,,,,18347000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04E+11
05-02-2018,31-12-2015,,,,,,,,,,,,,16549000000,,,,,,,,,,,,,,,,,,,,15869000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E+11
05-02-2018,31-10-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376000000,,,,,,,,,,,,,,,,,,,,,,,,,,
05-02-2018,31-12-2016,2041000000,14137000000,554000000,,6144000000,2942000000,-2402000000,,1.67E+11,1.05E+11,73415000000,,12918000000,86333000000,,,,36307000000,,,0,,383000000,226000000,1099000000,202000000,,,,,,3976000000,16468000000,95000000,3307000000,268000000,28461000000,1.67E+11,16756000000,4677000000,3935000000,,,,,4575000000,1819000000,2665000000,5878000000,,,,34234000000,,,1.05E+11,,,1.39E+11
05-02-2018,31-12-2017,3137000000,18336000000,881000000,,10177000000,3975000000,-992000000,,1.97E+11,1.24E+11,91156000000,,10715000000,1.02E+11,,,,40247000000,,,0,,680000000,430000000,1432000000,340000000,,,,,,4581000000,16747000000,369000000,2692000000,749000000,44793000000,1.97E+11,24183000000,12812000000,3969000000,,,,,2983000000,2672000000,3059000000,7813000000,,,,42383000000,,,1.13E+11,,,1.53E+11
04-02-2019,31-12-2015,,,,,,,,,,,,,16549000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E+11
04-02-2019,31-12-2016,,,,,,,,,,,,,12918000000,,,,,,,,,,,,,,,,,,,,16468000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.39E+11
04-02-2019,31-12-2017,3137000000,18336000000,881000000,12812000000,10177000000,3975000000,-992000000,,1.97E+11,1.24E+11,,,10715000000,1.02E+11,,,,40247000000,1432000000,340000000,0,,680000000,430000000,,,,,,,,4581000000,16747000000,369000000,2692000000,749000000,44793000000,1.97E+11,24183000000,,3969000000,,91156000000,,,2983000000,2672000000,3059000000,7813000000,,,,42383000000,,,1.13E+11,,,1.53E+11
04-02-2019,01-01-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701000000,,,
04-02-2019,31-01-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934000000,,,,,,,,,,,,,,,,,,,,,,,,,,
04-02-2019,31-12-2018,4378000000,20838000000,69000000,11327000000,16958000000,4592000000,-2306000000,,2.33E+11,1.36E+11,,,16701000000,1.09E+11,,,,45049000000,1784000000,396000000,0,,737000000,1264000000,,,,,,,,6839000000,17888000000,355000000,2220000000,1107000000,55164000000,2.33E+11,34620000000,,4012000000,,92439000000,,,4236000000,2693000000,3545000000,13859000000,,,,59719000000,,,1.35E+11,,,1.78E+11
03-02-2020,31-12-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36307000000
03-02-2020,31-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16295000000,,,,,,,,,,,,,,,,,,,,,,,,,,40247000000
03-02-2020,31-12-2018,4378000000,20838000000,69000000,11327000000,16958000000,4592000000,-2306000000,,2.33E+11,1.36E+11,,,16701000000,1.09E+11,,,,45049000000,1784000000,396000000,0,,737000000,1264000000,,,,,,,,6839000000,17888000000,355000000,2220000000,1107000000,55164000000,2.33E+11,34620000000,,4012000000,,92439000000,,,4236000000,2693000000,3545000000,13859000000,,,,59719000000,,,1.35E+11,,,1.78E+11
03-02-2020,01-01-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000000,,,-1500000000,,,,,-1500000000,,,,,,
03-02-2020,31-12-2019,5561000000,25326000000,274000000,9885000000,23067000000,5916000000,-1232000000,,2.76E+11,1.53E+11,,,18498000000,1.20E+11,,,,50552000000,1908000000,358000000,0,,721000000,1701000000,,,,,,,,8495000000,20624000000,2166000000,1979000000,999000000,74467000000,2.76E+11,45221000000,,4554000000,,1.01E+11,,10941000000,4412000000,2342000000,2534000000,13078000000,,,,,73646000000,,1.52E+11,,,2.01E+11
01-02-2022,31-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45049000000
01-02-2022,31-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19921000000,,,,,,,,,,,,,,,,,,,,,,,,,,50552000000
01-02-2022,31-12-2020,5589000000,30930000000,1485000000,8849000000,28631000000,7500000000,633000000,,3.20E+11,1.74E+11,,,26465000000,1.37E+11,,,,58510000000,2543000000,481000000,0,,1084000000,3561000000,,,,,,,,11086000000,21175000000,454000000,1445000000,728000000,97072000000,3.20E+11,56834000000,,13932000000,,1.10E+11,11146000000,12211000000,5490000000,3953000000,2269000000,20703000000,,,,84749000000,,,1.63E+11,,,2.23E+11
01-02-2022,31-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2022,31-12-2021,6037000000,39304000000,808000000,9176000000,31236000000,8996000000,-1623000000,,3.59E+11,1.88E+11,,,20945000000,1.40E+11,,,,61774000000,3288000000,535000000,0,,1284000000,5257000000,,,,,,,,13889000000,22956000000,966000000,1417000000,1170000000,1.08E+11,3.59E+11,64254000000,,14817000000,,1.19E+11,11389000000,12959000000,7054000000,5361000000,2205000000,29549000000,,,,97599000000,,,1.91E+11,,,2.52E+11
02-02-2023,31-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50552000000
02-02-2023,31-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18517000000,,,,,,,,,,,,,,,,,,,,,,,,,,58510000000
02-02-2023,31-12-2021,6037000000,39304000000,,9176000000,32044000000,8996000000,-1623000000,,3.59E+11,1.88E+11,,,20945000000,1.40E+11,,3.00E+11,,61774000000,3288000000,535000000,0,,1284000000,5257000000,,,,,,,,13889000000,22956000000,,1417000000,1170000000,1.08E+11,3.59E+11,64254000000,,14817000000,,1.19E+11,11389000000,12959000000,8020000000,5361000000,2205000000,29549000000,,,,97599000000,,,1.91E+11,,,2.52E+11
02-02-2023,12-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4772000000,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2023,31-12-2022,5128000000,40258000000,,9258000000,37866000000,8370000000,-7603000000,,3.65E+11,1.65E+11,,,21879000000,1.14E+11,,3.00E+11,,68184000000,3908000000,599000000,0,,5261000000,514000000,,,,,,,,14028000000,28960000000,,2084000000,2670000000,1.09E+11,3.65E+11,69300000000,,14701000000,,91883000000,12501000000,14381000000,8105000000,6623000000,2247000000,30492000000,,,,1.13E+11,,,1.96E+11,,,2.56E+11
30-01-2024,31-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58510000000
30-01-2024,31-12-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19826000000,,,,,,,,,,,,,,,,,,,,,,,,,,61774000000
30-01-2024,31-12-2022,5128000000,40258000000,,9258000000,37866000000,8370000000,-7603000000,,3.65E+11,1.65E+11,,,21879000000,1.14E+11,,,,68184000000,3908000000,599000000,0,,5261000000,514000000,,,,,,,,14028000000,28960000000,,,,1.09E+11,3.65E+11,69300000000,,14701000000,,91883000000,12501000000,14381000000,10775000000,8707000000,2247000000,30492000000,,,,1.13E+11,,,1.96E+11,,,2.56E+11
30-01-2024,31-12-2023,7493000000,47964000000,,8474000000,46168000000,8876000000,-4402000000,,4.02E+11,1.72E+11,,,24048000000,1.11E+11,,,,76534000000,4137000000,911000000,0,,12169000000,485000000,,,,,,,,15140000000,29198000000,,,,1.19E+11,4.02E+11,81814000000,,13253000000,,86868000000,12460000000,14091000000,12650000000,10051000000,1616000000,31008000000,,,,1.34E+11,,,2.11E+11,,,2.83E+11
04-02-2025,31-12-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61774000000
04-02-2025,31-12-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20847000000,,,,,,,,,,,,,,,,,,,,,,,,,,68184000000
04-02-2025,31-12-2023,7493000000,47964000000,,8474000000,46168000000,8876000000,-4402000000,,4.02E+11,1.72E+11,,,24048000000,1.11E+11,,,,76534000000,4137000000,,0,,12169000000,,,,,,,,,15140000000,29198000000,,,,1.19E+11,4.02E+11,81814000000,,11870000000,,86868000000,12460000000,14091000000,12650000000,10051000000,4395000000,31008000000,,,,1.34E+11,,,2.11E+11,,,2.83E+11
04-02-2025,31-12-2024,7987000000,52340000000,,8782000000,51228000000,9802000000,-4800000000,,4.50E+11,1.64E+11,,,23466000000,95657000000,,,,84800000000,5036000000,,0,,17180000000,,,,,,,,,15069000000,31885000000,,,,1.25E+11,4.50E+11,89122000000,,10883000000,,72191000000,11691000000,13588000000,15714000000,14874000000,4694000000,37982000000,,,,1.71E+11,,,2.45E+11,,,3.25E+11
