FilingDate,PeriodEnd,AmortizationOfIntangibleAssets,BusinessCombinationBargainPurchaseGainRecognizedAmount,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DeferredIncomeTaxExpenseBenefit,DepreciationAmortizationAndAccretionNet,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EquitySecuritiesGainLossOnShareExchange,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,GainLossOnInvestments,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndOtherLiabilities,IncreaseDecreaseInAccruedInterestsAndAccountsReceivable,IncreaseDecreaseInAssetBackedCommercialPaper,IncreaseDecreaseInBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,IncreaseDecreaseInCashCollateralForBorrowedSecurities,IncreaseDecreaseInDeposits,IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInTradingLiabilities,InterestPaid,InterestPaidNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherNoncashIncomeExpense,OtherOperatingActivitiesCashFlowStatement,PaymentsForOriginationAndPurchasesOfLoansHeldForSale,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStockAndWarrants,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStockIssuedToUsTreasury,PaymentsOfDividends,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsforOtherLoansandLeases,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromPaymentsForFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResellNet,ProceedsFromPaymentsForInInterestBearingDepositsInBanks,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPaymentsForOtherLoansAndLeases,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfFinanceReceivables,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSalesSecuritizationsAndPaydownsOfLoansHeldForSale,ProceedsFromShortTermDebt,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLeaseAndOtherLossesExcludingAccountingPolicyConformity,RepaymentsOfLongTermDebtAndCapitalSecurities,RepaymentsOfShortTermDebt,ShareBasedCompensation,StockRedeemedOrCalledDuringPeriodValue
2012-02-29,2008-12-31,,,,,26895000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-29,2009-12-31,1050000000,,,-689000000,26206000000,,,-3622000000,3308000000,238000000,,,17000000,1110000000,5434000000,,-26450000000,6312000000,-11228000000,-4076000000,-4452000000,-107700000000,67785000000,-133488000000,-32557000000,-79314000000,16875000000,,-153079000000,29355000000,122797000000,11728000000,,6167000000,22417000000,97000000,-50651000000,762000000,,0,,25000000000,3422000000,346372000000,,,,,5756000000,51324000000,,87712000000,9000000,7082000000,74829000000,-2124000000,,-67198000000,,114041000000,,,31034000000,33902000000,,,32015000000,68441000000,,3355000000,0
2012-02-29,2010-12-31,936000000,,,1361000000,27567000000,,,-968000000,4029000000,328000000,,,26000000,2965000000,9747000000,,17325000000,-443000000,0,2426000000,3926000000,-9637000000,15202000000,72082000000,12452000000,19344000000,12404000000,,-49217000000,54002000000,-3752000000,17370000000,,6234000000,37085000000,4910000000,-3022000000,114000000,,2999000000,,0,1486000000,179487000000,,,,,0,55181000000,,92740000000,7000000,-26957000000,41625000000,-1666000000,,-6869000000,,118600000000,,,9476000000,40155000000,,,16639000000,99043000000,,3251000000,352000000
2012-02-29,2011-12-31,848000000,,,32035000000,59602000000,,,1693000000,4257000000,-851000000,,,867000000,1593000000,8153000000,,35203000000,-8655000000,0,1165000000,18936000000,203420000000,-63116000000,-36443000000,15456000000,7905000000,13725000000,,107706000000,-170752000000,95932000000,18976000000,,6157000000,52561000000,-102000000,58365000000,63000000,,8863000000,,0,3895000000,202309000000,,,,,0,54844000000,,86850000000,6000000,-12490000000,-63592000000,-1868000000,,7230000000,,68631000000,,,10478000000,54092000000,,,7574000000,82078000000,,2675000000,0
2013-02-28,2009-12-31,,,,,26206000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,2010-12-31,936000000,,,1361000000,27567000000,,,-968000000,4029000000,328000000,,,26000000,2965000000,9747000000,,17325000000,-443000000,,2426000000,3926000000,-9637000000,15202000000,72082000000,12452000000,19344000000,12404000000,,-49217000000,54002000000,-3752000000,17370000000,,6234000000,37085000000,4910000000,-3022000000,114000000,,2999000000,,,1486000000,179487000000,,,,,,55181000000,0,92740000000,7000000,-26957000000,41625000000,-1666000000,,-6869000000,,118600000000,,,9476000000,40155000000,,16639000000,,99043000000,,3251000000,352000000
2013-02-28,2011-12-31,848000000,,,32035000000,59602000000,,,1693000000,4257000000,-851000000,,,867000000,1593000000,8153000000,,35203000000,-8655000000,,1165000000,18936000000,203420000000,-63116000000,-36443000000,15456000000,7905000000,13725000000,,107706000000,-170752000000,95932000000,18976000000,,6157000000,52561000000,-102000000,58365000000,63000000,,8863000000,,,3895000000,202309000000,,,,,,54844000000,0,86850000000,6000000,-12490000000,-63592000000,-1868000000,,7230000000,,68631000000,,,10478000000,54092000000,,7574000000,,82078000000,,2675000000,0
2013-02-28,2012-12-31,957000000,,,-5879000000,53723000000,,,1130000000,4190000000,1160000000,,,255000000,2110000000,2050000000,,-13069000000,-1732000000,,345000000,-23455000000,67250000000,26546000000,5379000000,4683000000,-3921000000,11161000000,,87707000000,-119825000000,25079000000,21284000000,,-3613000000,34026000000,-88000000,30491000000,3400000000,,1653000000,,,5194000000,189630000000,,,,,,86271000000,1234000000,112633000000,4000000,-60821000000,-36595000000,-189000000,,9315000000,,81957000000,,,6430000000,33202000000,,3385000000,,96473000000,,2545000000,0
2014-02-19,2010-12-31,,,,,27567000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,2011-12-31,848000000,,,32035000000,59602000000,,,1693000000,4257000000,-851000000,,,867000000,1593000000,8153000000,,35203000000,-8655000000,,1165000000,18936000000,203420000000,-63116000000,-36443000000,15456000000,7905000000,13725000000,,107706000000,-170752000000,95932000000,18976000000,,6157000000,52561000000,-102000000,58365000000,63000000,,8863000000,0,,3895000000,202309000000,,,0,,,54844000000,0,86850000000,6000000,-12490000000,-63592000000,-1868000000,,7230000000,,68631000000,,,10478000000,54092000000,,7574000000,,82078000000,,2675000000,
2014-02-19,2012-12-31,957000000,,,-5879000000,53723000000,,,1130000000,4190000000,1160000000,,,255000000,2110000000,2050000000,,-13069000000,-1732000000,,345000000,-23455000000,67250000000,26546000000,5379000000,4683000000,-3921000000,11161000000,,87707000000,-119825000000,25079000000,21284000000,,-3613000000,34026000000,-88000000,30491000000,3400000000,,1653000000,0,,5194000000,189630000000,,,0,,,86271000000,1234000000,112633000000,4000000,-60821000000,-36595000000,-189000000,,9315000000,,81957000000,,,6430000000,33202000000,,3385000000,,96473000000,,2545000000,
2014-02-19,2013-12-31,637000000,,,-13952000000,39771000000,,,8003000000,4669000000,272000000,,,137000000,667000000,3502000000,,-5743000000,2340000000,,-10433000000,-7562000000,81476000000,-58867000000,-89110000000,-526000000,-9772000000,9573000000,,28324000000,-150501000000,107953000000,17923000000,,-2037000000,75928000000,149000000,23721000000,679000000,,4789000000,1800000000,,6056000000,130266000000,,,24214000000,,,83546000000,3873000000,89631000000,189000000,47726000000,-194363000000,-1050000000,,2784000000,,73312000000,,,12033000000,73566000000,,225000000,,60497000000,,2219000000,
2015-02-24,2011-12-31,,,,,59602000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,2012-12-31,,,,-5879000000,53723000000,,,1130000000,5147000000,1160000000,,,255000000,2110000000,,2050000000,-13069000000,-1732000000,,345000000,-23455000000,67250000000,26546000000,5379000000,4683000000,-3921000000,11161000000,,87707000000,-119825000000,25079000000,21284000000,,-3613000000,34026000000,-88000000,30491000000,3400000000,,1653000000,0,,5194000000,189630000000,,,0,,,86271000000,1234000000,112633000000,4000000,-60821000000,-36595000000,-189000000,,9315000000,,81957000000,,,6430000000,33202000000,,3385000000,,96473000000,,2545000000,
2015-02-24,2013-12-31,,,,-13952000000,39771000000,,,8003000000,5306000000,272000000,,,137000000,667000000,,3502000000,-5743000000,2340000000,,-10433000000,-7562000000,81476000000,-58867000000,-89110000000,-526000000,-9772000000,9573000000,,28324000000,-150501000000,107953000000,17923000000,,-2037000000,75928000000,149000000,23721000000,679000000,,4789000000,1800000000,,6056000000,130266000000,,,24214000000,,,83546000000,3873000000,89631000000,189000000,47726000000,-194363000000,-1050000000,,2784000000,,73312000000,,,12033000000,73566000000,,225000000,,60497000000,,2219000000,
2015-02-24,2014-12-31,,,,-11940000000,27831000000,,,4210000000,4759000000,-1125000000,,,407000000,77000000,,1392000000,6065000000,3637000000,,-834000000,-1020000000,89346000000,10905000000,24814000000,9166000000,26818000000,8194000000,,118228000000,-165636000000,36593000000,21762000000,,442000000,67525000000,-843000000,51749000000,-1338000000,,4760000000,0,,6990000000,121504000000,,,10345000000,,,78515000000,8847000000,90664000000,4169000000,30848000000,-168426000000,-1175000000,,9242000000,,38411000000,,,20115000000,71407000000,,3139000000,,65275000000,,2190000000,
2016-02-23,2012-12-31,,,,,53723000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-23,2013-12-31,,,,-13952000000,39771000000,,,8139000000,5306000000,272000000,,,,,,3502000000,-5750000000,2340000000,,-10433000000,-7562000000,81476000000,-58867000000,-89110000000,-526000000,-9772000000,9573000000,,28324000000,-150501000000,107953000000,17886000000,-1552000000,-2129000000,75928000000,,23721000000,828000000,,4789000000,1800000000,,6056000000,130266000000,,,24214000000,,,83546000000,3873000000,89631000000,189000000,47726000000,-194363000000,-913000000,,2784000000,,73312000000,,,12033000000,73566000000,,225000000,,60497000000,,,
2016-02-23,2014-12-31,,,,-11940000000,27831000000,,,4362000000,4759000000,-1125000000,,,,,,1392000000,6058000000,3637000000,,-834000000,-1020000000,89346000000,10905000000,24814000000,9166000000,26818000000,8194000000,,118228000000,-165636000000,36593000000,21745000000,-2113000000,314000000,67525000000,,51749000000,-2181000000,,4760000000,0,,6990000000,121504000000,,,10345000000,,,78515000000,8847000000,90664000000,4169000000,30848000000,-168426000000,-768000000,,9242000000,,38411000000,,,20115000000,71407000000,,3139000000,,65275000000,,,
2016-02-23,2015-12-31,,,,-7341000000,20490000000,,,1333000000,4940000000,-276000000,,,,,,9423000000,-23361000000,-22664000000,,-5632000000,-12165000000,-88678000000,-39415000000,-62212000000,3701000000,-28972000000,7220000000,,-187511000000,106980000000,73466000000,24442000000,-1785000000,-5122000000,48109000000,,108962000000,-3703000000,,5616000000,0,,7873000000,70804000000,,,6204000000,,,79611000000,5893000000,76448000000,6099000000,3190000000,144462000000,-726000000,,-57828000000,,40444000000,,,18604000000,49363000000,,3827000000,,67247000000,,,
2017-02-28,2013-12-31,,,,,39771000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,2014-12-31,,,,-11940000000,27831000000,,,4362000000,4759000000,-1125000000,,,,,,1392000000,6058000000,3637000000,,-834000000,-1020000000,89346000000,10905000000,24814000000,9166000000,26818000000,8194000000,,118228000000,-165636000000,36593000000,21745000000,-2113000000,314000000,67525000000,,51749000000,-2181000000,,4760000000,,,6990000000,121504000000,,,10345000000,,,78515000000,8847000000,90664000000,4169000000,30848000000,-168426000000,-768000000,,9242000000,,38411000000,,,20115000000,71407000000,,3139000000,,65275000000,,,
2017-02-28,2015-12-31,,,,-7341000000,20490000000,,,1333000000,4940000000,-276000000,,,,,,9423000000,-23361000000,-22664000000,,-5632000000,-12165000000,-88678000000,-39415000000,-62212000000,3701000000,-28972000000,7220000000,,-187511000000,106980000000,73466000000,24442000000,-1785000000,-5122000000,48109000000,,108962000000,-3703000000,,5616000000,,,7873000000,70804000000,,,6204000000,,,79611000000,5893000000,76448000000,6099000000,3190000000,144462000000,-726000000,,-57828000000,,40444000000,,,18604000000,49363000000,,3827000000,,67247000000,,,
2017-02-28,2016-12-31,,,,3383000000,23873000000,,,4651000000,5478000000,-135000000,,,,,,2405000000,3740000000,5815000000,,-5707000000,-2313000000,97336000000,13007000000,20007000000,4517000000,5198000000,9508000000,,98271000000,-114949000000,20196000000,24733000000,-1799000000,-1827000000,61107000000,,80996000000,2825000000,,9082000000,,,8476000000,123959000000,,,143000000,,,83070000000,0,65950000000,6218000000,-17468000000,-25747000000,-467000000,,-2461000000,,48592000000,,,15429000000,60196000000,,5361000000,,68949000000,,,
2018-02-27,2014-12-31,,,,,27831000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
