FilingDate,PeriodEnd,AmortizationOfFinancingCostsAndDiscounts,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DeferredIncomeTaxExpenseBenefit,DepreciationAmortizationAndImpairment,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FinanceLeasePrincipalPayments,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnDigitalAssets,GainLossOnSaleOfPropertyPlantEquipment,GainOnDigitalAssets,GovernmentGrantReceipt,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInContractWithCustomerLiabilityCustomerDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLeaseVehicles,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestPaidNet,InventoryWriteDown,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NoncashInterestIncomeExpenseAndOtherOperatingActivities,NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,OperatingCashFlowRelatedToRepaymentOfDiscountedConvertibleSeniorNotes,PaymentsForBuyOutsOfNoncontrollingInterestsInSubsidiaries,PaymentsForSolarEnergySystemsNetOfSales,PaymentsOfDebtIssuanceCosts,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToAcquireOtherIndefiniteLivedIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToMinorityShareholders,ProceedsFromConvertibleAndOtherDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromIssuanceOfWarrants,ProceedsFromMinorityShareholders,ProceedsFromRepaymentsOfSecuredDebt,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfShortTermInvestments,ProceedsFromSalesOfDigitalAssets,ProfitLoss,PurchaseOfDigitalAssets,RepaymentsOfConvertibleAndOtherDebt,RepaymentsOfConvertibleDebt,RepaymentsOfDebt,ShareBasedCompensation
2021-02-08,2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257000000,,,,,,,,,,,
2021-02-08,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000000,,,,,,,,,,,
2021-02-08,2017-12-31,,,3965000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,2018-12-31,159000000,,4277000000,312000000,,1901000000,-23000000,181000000,2000000,,,-162000000,,,35000000,1797000000,497000000,406000000,-96000000,1023000000,215000000,207000000,-25000000,82000000,381000000,85000000,574000000,-2337000000,2098000000,-49000000,249000000,,6000000,218000000,15000000,18000000,,,,,2101000000,227000000,6176000000,,,296000000,,437000000,-559000000,,,,-1063000000,,5247000000,,,749000000
2021-02-08,2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174000000,,,,,,,,,,,
2021-02-08,2019-12-31,188000000,,6783000000,2506000000,,2154000000,8000000,321000000,48000000,,,-146000000,,46000000,54000000,646000000,367000000,801000000,-58000000,429000000,764000000,-115000000,-5000000,288000000,455000000,193000000,1529000000,-1436000000,2405000000,-186000000,562000000,,9000000,105000000,37000000,45000000,5000000,,,,1327000000,311000000,10669000000,848000000,,263000000,174000000,279000000,-389000000,,,,-775000000,,9161000000,,,898000000
2021-02-08,2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310000000,,,,,,,,,,,,,,
2021-02-08,2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000.00,,,,,,,,,,,,,,
2021-02-08,2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000.00,,,,,,,,,,,,,,
2021-02-08,2020-12-31,180000000,,19901000000,13118000000,,2322000000,334000000,338000000,-114000000,,,-117000000,,123000000,115000000,2102000000,652000000,321000000,7000000,422000000,1072000000,344000000,495000000,251000000,444000000,202000000,9973000000,-3132000000,5943000000,-228000000,1088000000,,35000000,75000000,6000000,13000000,10000000,,,,3157000000,208000000,9713000000,12269000000,,417000000,,24000000,-240000000,,,,862000000,,11623000000,,,1734000000
2022-02-04,2018-12-31,,,4277000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174000000,,,,,,,,,,,
2022-02-04,2019-12-31,,207000000,6783000000,2506000000,,2154000000,8000000,321000000,,-48000000,,,0,46000000,54000000,646000000,367000000,801000000,-58000000,429000000,764000000,-115000000,-5000000,288000000,455000000,193000000,1529000000,-1436000000,2405000000,-520000000,562000000,188000000,9000000,105000000,37000000,45000000,5000000,,0,,1327000000,311000000,10669000000,848000000,,263000000,174000000,279000000,-389000000,,,0,-775000000,0,9161000000,,,898000000
2022-02-04,2020-12-31,,0,19901000000,13118000000,,2322000000,334000000,338000000,,114000000,,,0,123000000,115000000,2102000000,652000000,321000000,7000000,422000000,1072000000,344000000,495000000,251000000,444000000,202000000,9973000000,-3132000000,5943000000,-525000000,1088000000,0,35000000,75000000,6000000,13000000,10000000,,0,,3157000000,208000000,9713000000,12269000000,,417000000,,24000000,-240000000,,,0,862000000,0,11623000000,,,1734000000
2022-02-04,2021-12-31,,0,18144000000,-1757000000,,2911000000,-183000000,439000000,,-55000000,,,-27000000,6000000,561000000,4578000000,-130000000,793000000,186000000,-1709000000,-2114000000,-1291000000,476000000,-271000000,266000000,140000000,-5203000000,-7868000000,11497000000,-245000000,2251000000,0,-10000000,-32000000,9000000,0,1500000000,,132000000,,6482000000,161000000,8883000000,0,,707000000,,2000000,-9000000,,,272000000,5644000000,-1500000000,-14167000000,,,2121000000
2022-02-04,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000000,,,,,,,,,,,
2023-01-30,2019-12-31,,,6783000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30,2020-12-31,,,19901000000,13118000000,,2322000000,334000000,338000000,,-114000000,0,,,123000000,115000000,2102000000,652000000,321000000,7000000,422000000,1072000000,344000000,495000000,251000000,444000000,202000000,9973000000,-3132000000,5943000000,-525000000,1088000000,,35000000,75000000,6000000,13000000,,0,,10000000,3157000000,208000000,,12269000000,9713000000,417000000,,24000000,-240000000,0,,0,862000000,0,11623000000,,,1734000000
2023-01-30,2021-12-31,,,18144000000,-1757000000,,2911000000,-183000000,439000000,,55000000,27000000,,,6000000,561000000,4578000000,130000000,793000000,186000000,1709000000,2114000000,1291000000,476000000,271000000,266000000,140000000,-5203000000,-7868000000,11497000000,-245000000,2251000000,,10000000,32000000,9000000,0,,132000000,,0,6482000000,161000000,,0,8883000000,707000000,,2000000,-9000000,0,,272000000,5644000000,1500000000,14167000000,,,2121000000
2023-01-30,2022-12-31,,,16924000000,-1220000000,,3747000000,-444000000,502000000,,-81000000,-140000000,,,76000000,1203000000,6029000000,1124000000,1131000000,155000000,6465000000,1570000000,2551000000,1904000000,1417000000,152000000,177000000,-3527000000,-11973000000,14724000000,-340000000,2148000000,,45000000,5000000,0,0,,5835000000,,9000000,7158000000,157000000,,0,0,541000000,,0,0,22000000,,936000000,12587000000,0,3364000000,,,1560000000
2024-01-26,2020-12-31,,,19901000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-26,2021-12-31,,,18144000000,-1757000000,-149000000,2911000000,-183000000,439000000,,55000000,27000000,,,6000000,561000000,5367000000,130000000,793000000,,1709000000,2114000000,,,1540000000,266000000,140000000,-5203000000,-7868000000,11497000000,-245000000,2251000000,,10000000,32000000,9000000,0,,132000000,,0,6482000000,161000000,,,8883000000,707000000,,2000000,-9000000,0,0,272000000,5644000000,1500000000,,,14167000000,2121000000
2024-01-26,2022-12-31,,,16924000000,-1220000000,-196000000,3747000000,-444000000,502000000,,-81000000,-140000000,,,76000000,1203000000,8029000000,1124000000,1131000000,,6465000000,1570000000,,,3713000000,152000000,177000000,-3527000000,-11973000000,14724000000,-340000000,2148000000,,45000000,5000000,0,0,,5835000000,,9000000,7158000000,157000000,,,0,541000000,,0,0,22000000,0,936000000,12587000000,0,,,3364000000,1560000000
2024-01-26,2023-12-31,,,17189000000,265000000,-6349000000,4667000000,4000000,464000000,,144000000,0,,,0,1119000000,2605000000,586000000,1532000000,,1195000000,1952000000,,,2652000000,126000000,463000000,2589000000,-15584000000,13256000000,-81000000,2272000000,,54000000,1000000,29000000,64000000,,19112000000,,0,8898000000,144000000,,,3931000000,700000000,,0,0,12353000000,138000000,0,14974000000,0,,,1351000000,1812000000
2025-01-29,2021-12-31,,,18144000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,2022-12-31,,,16924000000,-1220000000,-196000000,3747000000,-444000000,502000000,,-81000000,-140000000,,,76000000,1203000000,8029000000,1124000000,1131000000,,6465000000,1570000000,,,3713000000,152000000,177000000,-3527000000,-11973000000,14724000000,-340000000,2148000000,,45000000,5000000,0,0,,5835000000,,9000000,7158000000,157000000,,,0,541000000,,,,22000000,0,936000000,12587000000,,,3364000000,,1560000000
2025-01-29,2023-12-31,,,17189000000,265000000,-6349000000,4667000000,4000000,464000000,,144000000,0,,,0,1119000000,2605000000,586000000,1532000000,,1195000000,1952000000,,,2652000000,126000000,463000000,2589000000,-15584000000,13256000000,-81000000,2272000000,,54000000,1000000,29000000,64000000,,19112000000,,0,8898000000,144000000,,,3931000000,700000000,,,,12353000000,138000000,0,14974000000,,,1351000000,,1812000000
2025-01-29,2024-12-31,,,17037000000,-152000000,477000000,5368000000,-141000000,381000000,,73000000,589000000,,,0,1331000000,3588000000,1083000000,502000000,,-937000000,590000000,,,3273000000,277000000,335000000,3853000000,-18787000000,14923000000,-172000000,1410000000,,133000000,3000000,14000000,0,,35955000000,,0,11339000000,104000000,,,5744000000,1241000000,,,,28310000000,200000000,0,7153000000,,,2500000000,,1999000000
