2017-03-01,2015-12-31,,-460000000,19111000000,,,,,3288000000,453000000,453000000,23276000000,13688000000,,,2265000000,54867000000,354000000,,,-2182000000,2165000000,42754000000,,3816000000,12441000000,,,92003000000,,-107235000000,,14772000000,11866000000,,6496000000,57016000000,,,,,2223000000,8697000000,,,,7400000000,1426000000,,,79778000000,,3000000,25424000000,13759000000,,2352000000,,,178294000000,,,10023000000,1726000000,43030000000,2972000000,33912000000,5290000000,33000000,-232000000,34010000000,,25431000000,,,7803000000,11672000000,3496000000,,,,133201000000,,,2442000000,27333000000,,1958000000,,,-62000000
2017-03-01,2016-12-31,,1618000000,20729000000,,,,,4970000000,283000000,283000000,22045000000,8446000000,,,-1793000000,82767000000,-2089000000,,,-705000000,14232000000,62550000000,,5573000000,12533000000,,,123568000000,,-122119000000,,169000000,-3991000000,,6086000000,38977000000,,,,,508000000,8116000000,,,,7472000000,1566000000,,,120980000000,,30584000000,23593000000,6221000000,,4316000000,,,205314000000,,,11609000000,1415000000,90111000000,2101000000,41105000000,7957000000,-107000000,-188000000,-1198000000,,31584000000,,,7311000000,10061000000,1975000000,,,,127488000000,,,3770000000,34462000000,,1945000000,,,-139000000
2018-03-01,2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309000000,,,,,,
2018-03-01,2014-12-31,,,19571000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395000000,,,,,,
2018-03-01,2015-12-31,,-460000000,19111000000,,,,,3288000000,,,23276000000,13688000000,,,2265000000,54867000000,354000000,,,-1503000000,2165000000,42754000000,,3816000000,7437000000,,,90871000000,,-107235000000,,15904000000,11866000000,,6496000000,57020000000,,,,,2223000000,8697000000,,,,7400000000,1426000000,679000000,,79778000000,,3000000,25424000000,13759000000,,2352000000,,,178294000000,,,5023000000,1726000000,43030000000,2972000000,33912000000,5290000000,33000000,-232000000,34010000000,,25431000000,,,7803000000,11672000000,3496000000,,,,133201000000,,,2442000000,27333000000,,1958000000,,,-62000000
2018-03-01,2016-12-31,,1618000000,20729000000,,,,,4970000000,,,22045000000,8446000000,,,-1793000000,82767000000,-2089000000,,,-211000000,14232000000,62550000000,,5573000000,7743000000,,,122791000000,,-122119000000,,946000000,-3991000000,,6086000000,39002000000,,,,,508000000,8116000000,,,,7472000000,1566000000,494000000,,120980000000,,30584000000,23593000000,6221000000,,4316000000,,,205314000000,,,6844000000,1415000000,90111000000,2101000000,41105000000,7957000000,-107000000,-188000000,-1198000000,,31584000000,,,7311000000,10061000000,1975000000,,,,127488000000,,,3770000000,34462000000,,1945000000,,,-139000000
2018-03-01,2017-12-31,,2638000000,23367000000,,,,,5406000000,,,22460000000,6592000000,,,-666000000,29912000000,5025000000,,,4837000000,1174000000,33332000000,,9103000000,6814000000,,,-10920000000,,-5164000000,,18722000000,13490000000,,973000000,-317000000,,,,,625000000,9908000000,,,,7480000000,1629000000,393000000,,103671000000,,320000000,0,3702000000,,3023000000,,,181321000000,,,7448000000,1211000000,43575000000,677000000,45710000000,10673000000,-133000000,30000000,14020000000,,42714000000,,,5198000000,10439000000,3982000000,,,,135054000000,,,2528000000,80802000000,,2046000000,,,-886000000
2019-02-27,2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395000000,,,,,,
2019-02-27,2015-12-31,,,,239520000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442000000,,,,,,
2019-02-27,2016-12-31,,,,221400000000,-18120000000,,,4970000000,,,22045000000,8446000000,,,-1793000000,82767000000,-2089000000,,451000000,-211000000,14232000000,,-63309000000,5573000000,7743000000,,,122791000000,,-141919000000,,1008000000,15747000000,,6337000000,39002000000,,,,,508000000,8116000000,,0,,7472000000,1566000000,494000000,,,120978000000,30584000000,23593000000,6221000000,,,,205300000000,,5383000000,,6844000000,1415000000,90111000000,2101000000,40998000000,7957000000,-107000000,-188000000,-1198000000,,,30958000000,,7311000000,10061000000,,,,,,127479000000,3711000000,3770000000,34462000000,,1945000000,,,-139000000
2019-02-27,2017-12-31,,,,215947000000,-5453000000,,,5406000000,,,22460000000,6592000000,,,-666000000,29912000000,5025000000,,-327000000,4837000000,1214000000,,-33505000000,9103000000,6814000000,,,-10920000000,,-13152000000,,18619000000,21497000000,,1518000000,-317000000,,,,,709000000,9908000000,,0,,7480000000,1629000000,393000000,,,103656000000,320000000,0,3702000000,,,,181269000000,,3735000000,,7448000000,1211000000,43575000000,677000000,45688000000,10673000000,-133000000,30000000,14020000000,,,42067000000,,5198000000,10439000000,,,,,,134984000000,5451000000,2528000000,80802000000,,2046000000,,,-886000000
2019-02-27,2018-12-31,,,,173287000000,-42660000000,,,5593000000,,,22876000000,1977000000,,,-1970000000,-48034000000,-1513000000,,960000000,-865000000,-7805000000,,-35054000000,14366000000,6482000000,,,-70979000000,,-7754000000,,36073000000,1184000000,,7630000000,18619000000,,,,,769000000,20633000000,,2150000000,,7692000000,1622000000,331000000,,,60067000000,10000000,0,2088000000,,,,152832000000,,6433000000,,6791000000,632000000,47595000000,0,36725000000,10934000000,-248000000,-462000000,2531000000,,,7320000000,,3592000000,16294000000,,,,,,119097000000,6242000000,1744000000,40565000000,,2255000000,,,-453000000
2020-02-26,2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442000000,,,,,,
2020-02-26,2016-12-31,,,,221400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770000000,,,,,,
2020-02-26,2017-12-31,,,,215947000000,-5453000000,,,5406000000,,,22460000000,6592000000,,,-666000000,29912000000,5025000000,,-327000000,4837000000,1214000000,,-33505000000,9103000000,6814000000,,-10920000000,,-13152000000,,18619000000,,21497000000,,1518000000,-317000000,,,,,1029000000,9908000000,,0,,7480000000,1629000000,393000000,,,103656000000,,0,3702000000,,,,181269000000,,3735000000,,7448000000,1211000000,43575000000,677000000,45688000000,10673000000,-133000000,30000000,14020000000,,,42067000000,,5198000000,10439000000,,,,,,134984000000,5451000000,2528000000,80802000000,,2046000000,,,-886000000
2020-02-26,2018-12-31,,,,173287000000,-42660000000,,,5593000000,,,22876000000,1977000000,,,-1970000000,-48034000000,-1513000000,,960000000,-865000000,-7805000000,,-35054000000,14366000000,6482000000,,-70979000000,,-7754000000,,36073000000,,1184000000,,7630000000,18619000000,,,,,779000000,20633000000,,2150000000,,7692000000,1622000000,331000000,,,60067000000,,0,2088000000,,,,152832000000,,6433000000,,6791000000,632000000,47595000000,0,36725000000,10934000000,-248000000,-462000000,2531000000,,,7320000000,,3592000000,16294000000,,,,,,119097000000,6242000000,1744000000,40565000000,,2255000000,,,-453000000
2020-02-26,2019-12-31,,,,141250000000,-32037000000,,,7075000000,,,20041000000,7557000000,,,3246000000,36137000000,2665000000,,-788000000,2429000000,-3034000000,,-22066000000,18834000000,5274000000,,-9136000000,,-29631000000,,6730000000,,21933000000,,5500000000,23698000000,,,,,-1465000000,24533000000,,1550000000,,8198000000,1391000000,302000000,,,57015000000,,8649000000,2033000000,,,,158673000000,,6865000000,,3912000000,380000000,53381000000,0,46542000000,13684000000,-276000000,-513000000,-1275000000,,,9386000000,,2666000000,12038000000,,,,,,112718000000,6143000000,2687000000,60996000000,,2274000000,,,-3702000000
2021-02-23,2017-12-31,,,,215947000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,2018-12-31,,,,173287000000,-42660000000,,,5593000000,,,22876000000,,-135000000,,-1970000000,-48034000000,-1513000000,,,-865000000,-7805000000,,-35054000000,14366000000,6482000000,,-70979000000,,-7754000000,,36073000000,,1184000000,,7551000000,18619000000,,,,,779000000,20633000000,,2150000000,,7692000000,1622000000,331000000,,,60067000000,,0,2088000000,,,,154934000000,,6433000000,,6791000000,632000000,47595000000,0,36725000000,10934000000,-248000000,-462000000,2531000000,,,7320000000,,3592000000,16294000000,,,,,,120160000000,6242000000,1744000000,40565000000,,2255000000,,,-453000000
2021-02-23,2019-12-31,,,,141250000000,-32037000000,,,7075000000,,,20041000000,,7493000000,,3246000000,36137000000,2665000000,,,2429000000,-3034000000,,-22066000000,18834000000,5274000000,,-9136000000,,-29631000000,,6730000000,,21933000000,,5513000000,23698000000,,,,,-1465000000,24533000000,,1550000000,,8198000000,1391000000,302000000,,,57015000000,,8649000000,2033000000,,,,159309000000,,6865000000,,3912000000,380000000,53381000000,0,46542000000,13684000000,-276000000,-513000000,-1275000000,,,9386000000,,2666000000,12038000000,,,,,,114155000000,6143000000,2687000000,60996000000,,2274000000,,,-3702000000
2021-02-23,2020-12-31,,,,264612000000,123362000000,,,8736000000,,,3586000000,,1175000000,,3314000000,81755000000,5492000000,,,1520000000,12304000000,,-43214000000,8414000000,13052000000,,-1243000000,,122554000000,,2051000000,,-36468000000,,-5258000000,-53718000000,,,,,363000000,3415000000,,3602000000,,4852000000,1290000000,340000000,,,91545000000,,46755000000,1313000000,,,,181961000000,,8677000000,,7927000000,571000000,38136000000,3116000000,78174000000,36641000000,-360000000,-102000000,-45513000000,,,48638000000,,1147000000,9359000000,,,,,,122592000000,12187000000,14129000000,65347000000,,1766000000,,,-4321000000
2022-02-22,2018-12-31,,,,173287000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,2019-12-31,,,,141250000000,-32037000000,,,6573000000,,,20206000000,,7493000000,,3192000000,36137000000,2665000000,,,2712000000,-3034000000,,-22066000000,18834000000,5274000000,,-9136000000,,-29631000000,,6730000000,,21933000000,,3239000000,23698000000,159309000000,,,,-4131000000,24533000000,,1550000000,,8198000000,1391000000,,,,57015000000,,8649000000,2033000000,,,,,,6865000000,,3912000000,,53381000000,0,46542000000,13684000000,-711000000,,-1275000000,114155000000,,9386000000,,,12038000000,,,,,,,6143000000,2687000000,60996000000,,,,,-3702000000
2022-02-22,2020-12-31,,,,264612000000,123362000000,,,8219000000,,,3662000000,,1175000000,,3289000000,81755000000,5492000000,,,1936000000,12304000000,,-43214000000,8414000000,13052000000,,-1243000000,,122554000000,,2051000000,,-36468000000,,-7024000000,-53718000000,181961000000,,,,-784000000,3415000000,,3602000000,,4852000000,1290000000,,,,91545000000,,46755000000,1313000000,,,,,,8677000000,,7927000000,,38136000000,3116000000,78174000000,36641000000,-231000000,,-45513000000,122592000000,,48638000000,,,9359000000,,,,,,,12187000000,14129000000,65347000000,,,,,-4321000000
2022-02-22,2021-12-31,,,,234230000000,-30382000000,,,7890000000,,,23238000000,,3166000000,,1292000000,78582000000,2472000000,,,1467000000,-15477000000,,-19334000000,4384000000,11237000000,,-11238000000,,-7619000000,,-11525000000,,551000000,,12194000000,28809000000,158923000000,,,,-3782000000,14464000000,,6675000000,,2422000000,1205000000,,,,110431000000,,71245000000,389000000,,,,,,7680000000,,8985000000,,1275000000,5756000000,75701000000,79517000000,-361000000,,-24590000000,101293000000,,17958000000,,,31847000000,,,,,,,4933000000,-4155000000,47134000000,,,,,1188000000
2023-02-21,2019-12-31,,,,141250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,2020-12-31,,,,264612000000,123362000000,,,8219000000,,,3662000000,,1175000000,,3289000000,81755000000,5492000000,,,1936000000,12304000000,,-43214000000,8414000000,13052000000,,-1243000000,,122554000000,,2051000000,,-36468000000,,-7024000000,-53718000000,181961000000,,,,-784000000,3415000000,,3602000000,,4852000000,1290000000,,,,91545000000,,46755000000,1313000000,,,,,,8677000000,,7927000000,,38136000000,3116000000,78174000000,36641000000,-231000000,,-45513000000,122592000000,,48638000000,,,9359000000,,,,,,,12187000000,14129000000,65347000000,,,,,-4321000000
2023-02-21,2021-12-31,,,,234230000000,-30382000000,,,7890000000,,,23238000000,,3166000000,,1292000000,78582000000,2472000000,,,1467000000,-15477000000,,-19334000000,4384000000,11237000000,,-11238000000,,-7619000000,,-11525000000,,551000000,,12194000000,28809000000,158923000000,,,,-3782000000,14464000000,,6675000000,,2422000000,1205000000,,,,110431000000,,71245000000,389000000,,,,,,7680000000,,8985000000,,1275000000,5756000000,75701000000,79517000000,-361000000,,-24590000000,101293000000,,17958000000,,,31847000000,,,,,,,4933000000,-4155000000,47134000000,,,,,1188000000
2023-02-21,2022-12-31,,,,159157000000,-75073000000,,,6832000000,,,12882000000,,3376000000,,-1075000000,-98494000000,-7856000000,,,-231000000,9137000000,,-31579000000,8289000000,3824000000,,-59645000000,,-42476000000,,27048000000,,704000000,,14524000000,74861000000,74910000000,,,,-805000000,6033000000,,0,,4178000000,1115000000,,,,40104000000,,2360000000,741000000,,,,,,6984000000,,5173000000,,53737000000,0,19791000000,27666000000,-539000000,,16564000000,65418000000,,16895000000,,,12446000000,,,,,,,4326000000,1534000000,19587000000,,,,,1326000000
2024-02-20,2020-12-31,,,,264612000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-20,2021-12-31,,,,234230000000,-30382000000,,,7890000000,,,23799000000,,3166000000,,1106000000,78582000000,2484000000,,,732000000,-15477000000,,-19334000000,4384000000,11237000000,,-11238000000,,-7619000000,,-11525000000,,551000000,,12194000000,28809000000,158923000000,,,,-3782000000,14464000000,,6675000000,,2422000000,1205000000,,,,110431000000,,71245000000,389000000,,,,,,7680000000,,8985000000,,1275000000,5756000000,75701000000,79517000000,-361000000,,-24590000000,101293000000,,17958000000,,,31847000000,,,,,,,4933000000,-4155000000,47134000000,,,,,1188000000
2024-02-20,2022-12-31,,,,159157000000,-75073000000,,,6832000000,,,13378000000,,3376000000,,-1239000000,-98494000000,-7850000000,,,-860000000,9162000000,,-31579000000,8289000000,3824000000,,-59645000000,,-42476000000,,27048000000,,704000000,,14524000000,74861000000,74910000000,,,,-805000000,6033000000,,0,,4178000000,1115000000,,,,40104000000,,2360000000,741000000,,,,,,6984000000,,5173000000,,53737000000,0,19791000000,27666000000,-539000000,,16564000000,65418000000,,16895000000,,,12446000000,,,,,,,4326000000,1534000000,19587000000,,,,,1326000000
2024-02-20,2023-12-31,,,,236052000000,76895000000,,,6271000000,,,19029000000,,-1786000000,,50000000,-25812000000,-4155000000,,,4615000000,6838000000,,-3349000000,30431000000,3476000000,,20494000000,,16043000000,,40358000000,,12729000000,,-7149000000,-10296000000,30365000000,,,,-391000000,11851000000,,1725000000,,4789000000,1141000000,,,,26051000000,,4225000000,1637000000,,,,,,5811000000,,4871000000,,49071000000,1722000000,14872000000,18372000000,-509000000,,38414000000,26793000000,,14651000000,,,4275000000,,,,,,,2244000000,5399000000,22886000000,,,,,-851000000
2025-02-25,2021-12-31,,,,234230000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-25,2022-12-31,,,,159157000000,-75073000000,,0,6832000000,,,13378000000,,3376000000,,-1239000000,-98494000000,-7850000000,,,-860000000,9162000000,,-31579000000,8289000000,,0,-59645000000,,-42476000000,,27048000000,,704000000,,14524000000,73512000000,74910000000,,,,-805000000,6033000000,,0,,4178000000,1115000000,,,,40104000000,,2360000000,741000000,,,,,,6984000000,,,,53737000000,0,19791000000,27666000000,-539000000,,16564000000,65418000000,,16895000000,,,12446000000,,,,,,,4326000000,1534000000,19587000000,,,6586000000,50132000000,1326000000
2025-02-25,2023-12-31,,,,236052000000,76895000000,,23919000000,6271000000,,,19029000000,,-1786000000,,50000000,-25812000000,-4155000000,,,4615000000,6838000000,,-3349000000,30431000000,,0,20494000000,,16043000000,,40358000000,,12729000000,,-7149000000,-11691000000,30365000000,,,,-391000000,11851000000,,1725000000,,4789000000,1141000000,,,,26051000000,,4225000000,1637000000,,,,,,5811000000,,,,49071000000,1722000000,14872000000,18372000000,-509000000,,38414000000,26793000000,,14651000000,,,4275000000,,,,,,,2244000000,5399000000,22886000000,,,1920000000,3687000000,-851000000
2025-02-25,2024-12-31,,,,201902000000,-34150000000,,0,7558000000,,,19965000000,,1664000000,,911000000,13631000000,3794000000,,,822000000,-3192000000,,20491000000,43619000000,,4927000000,-21534000000,,-15651000000,,3035000000,,27022000000,,1737000000,-18663000000,37992000000,,,,193000000,19448000000,,2840000000,,5133000000,1099000000,,,,95464000000,,0,843000000,,,,,,8363000000,,,,29014000000,1997000000,34331000000,27896000000,-784000000,,18710000000,31824000000,,27901000000,,,3631000000,,,,,,,3812000000,4334000000,55582000000,,,626000000,0,-265000000
